time_us,ant_ac_uV,gate1_ac_uV,drain_ac_uV,out_ac_uV
0.06884571425780686,0.8323853291922868,0.34423118089321747,-0.6519727193676772,-1.0939775627605286
0.07084571425781125,0.8495040088958454,0.4509578368505629,-0.8989774595846711,-1.506520021621327
0.07284571425780886,0.8649803419799984,0.5568169458847194,-1.1442542504624953,-1.9161667221823109
0.07484571425780646,0.8787843950619156,0.6616037608875303,-1.3873287301180426,-2.3221253417915477
0.0768457142577973,0.8908894694437313,0.7651156128662961,-1.6277307004486374,-2.7236107129624543
0.0788457142578017,0.9012721522142967,0.8671522948588972,-1.8649952604476994,-3.1198463030790435
0.0808457142577993,0.9099123620037954,0.9675164547306991,-2.09866345990406,-3.510065752720948
0.08284571425779691,0.9167933874170429,1.066013975759006,-2.328283398966846,-3.8935143127361016
0.0848457142578013,0.9219019197480153,1.1624543498900408,-2.553410910266507,-4.26945036302584
0.08684571425779213,0.9252280783539855,1.2566510498857042,-2.7736106105180625,-4.637146773234235
0.08884571425778974,0.9267654300719406,1.3484218857051644,-2.9884565790894158,-4.9958923717952075
0.09084571425778734,0.9265110014018767,1.4375893628848502,-3.1975332905886944,-5.34499331195093
0.09284571425779173,0.9244652844860398,1.523981017825804,-3.4004363591577658,-5.6837743915849614
0.09484571425778256,0.9206322359736716,1.6074297597423737,-3.5967733502673127,-6.0115803428573145
0.09684571425778017,0.915019269499059,1.687774185743507,-3.7861645001413535,-6.327777152037584
0.09884571425777779,0.9076372412707845,1.7648588996888037,-3.9682435293286744,-6.631753253216743
0.10084571425778216,0.8985004291118585,1.8385348097282872,-4.1426582395587275,-6.922920722018944
0.10284571425776622,0.8876265047911391,1.9086594178485683,-4.30907132908942,-7.200716401811746
0.1048457142577706,0.8750364998894821,1.9750970927656653,-4.467160898968814,-7.464603001494652
0.10684571425776822,0.8607547651563718,2.0377193368226187,-4.61662122042128,-7.714070122233352
0.1088457142577726,0.8448089232964111,2.096405028684245,-4.757163170054923,-7.9486352717594855
0.11084571425775666,0.8272298156868255,2.1510406646996216,-4.888514979484171,-8.167844752549058
