time_s,board_in,t79_2_secondary,q79_3_g1,q79_3_g2,q79_3_drain,q79_3_source
9.1504854e-05,-7.50904439e-05,-0.201680858,0.589353914,1.63375527,3.45693036,1.73535074
9.1505854e-05,-7.87033487e-05,-0.196726305,0.590714603,1.61407891,3.45695722,1.73535071
9.1506854e-05,-8.20645908e-05,-0.191143911,0.592234277,1.59479041,3.45698398,1.73535068
9.1507854e-05,-8.51634224e-05,-0.184951547,0.593908071,1.57595146,3.45701086,1.73535064
9.1508854e-05,-8.79899346e-05,-0.178169019,0.595730633,1.55762226,3.45703809,1.73535061
9.1509854e-05,-9.05350893e-05,-0.170818005,0.597696138,1.53986143,3.45706585,1.73535058
9.1510854e-05,-9.27907481e-05,-0.162921985,0.599798307,1.52272574,3.4570943,1.73535055
9.1511854e-05,-9.47496982e-05,-0.154506166,0.602030431,1.50626998,3.45712355,1.73535051
9.1512854e-05,-9.64056758e-05,-0.145597403,0.604385387,1.49054675,3.4571537,1.73535048
9.1513854e-05,-9.77533856e-05,-0.136224115,0.606855662,1.47560631,3.45718481,1.73535045
9.1514854e-05,-9.87885182e-05,-0.126416191,0.609433378,1.46149644,3.4572169,1.73535042
9.1515854e-05,-9.95077637e-05,-0.116204899,0.612110319,1.44826223,3.45724997,1.73535039
9.1516854e-05,-9.99088221e-05,-0.105622786,0.614877952,1.43594601,3.45728403,1.73535036
9.1517854e-05,-9.9990411e-05,-0.0947035734,0.617727457,1.42458713,3.45731897,1.73535033
9.1518854e-05,-9.97522696e-05,-0.0834820551,0.620649753,1.41422192,3.45735466,1.73535031
9.1519854e-05,-9.91951594e-05,-0.0719939836,0.62363553,1.40488352,3.45739102,1.73535028
9.1520854e-05,-9.83208617e-05,-0.0602759594,0.626675276,1.39660176,3.4574279,1.73535025
9.1521854e-05,-9.71321722e-05,-0.048365315,0.629759305,1.38940314,3.45746513,1.73535022
9.1522854e-05,-9.5632892e-05,-0.0362999974,0.632877791,1.38331066,3.45750253,1.7353502
9.1523854e-05,-9.3827815e-05,-0.0241184484,0.636020799,1.3783438,3.45753987,1.73535017
9.1524854e-05,-9.17227133e-05,-0.0118594834,0.639178314,1.37451844,3.45757694,1.73535014
9.1525854e-05,-8.93243181e-05,0.000437831113,0.642340273,1.37184681,3.45761349,1.73535012
9.1526854e-05,-8.66402985e-05,0.0127343004,0.645496597,1.37033745,3.45764927,1.73535009
9.1527854e-05,-8.36792371e-05,0.0249907255,0.648637225,1.36999517,3.45768401,1.73535007
9.1528854e-05,-8.04506021e-05,0.037168027,0.651752143,1.37082109,3.45771744,1.73535005
9.1529854e-05,-7.69647174e-05,0.0492273688,0.654831415,1.37281254,3.45774929,1.73535002
9.1530854e-05,-7.32327296e-05,0.0611302803,0.65786522,1.37596318,3.45777928,1.73535
9.1531854e-05,-6.92665721e-05,0.0728387791,0.660843875,1.38026292,3.45780714,1.73534998
9.1532854e-05,-6.50789271e-05,0.084315491,0.663757872,1.38569802,3.45783259,1.73534996
9.1533854e-05,-6.06831851e-05,0.0955237688,0.666597906,1.3922511,3.45785536,1.73534994
9.1534854e-05,-5.60934019e-05,0.106427809,0.669354905,1.39990122,3.45787522,1.73534991
9.1535854e-05,-5.13242538e-05,0.116992764,0.672020056,1.40862391,3.45789191,1.73534989
9.1536854e-05,-4.63909909e-05,0.127184858,0.67458484,1.41839128,3.4579052,1.73534987
9.1537854e-05,-4.13093876e-05,0.136971489,0.677041051,1.42917212,3.4579149,1.73534985
9.1538854e-05,-3.6095693e-05,0.146321337,0.679380828,1.44093196,3.45792082,1.73534983
9.1539854e-05,-3.07665785e-05,0.155204465,0.681596678,1.45363319,3.45792278,1.73534982
9.1540854e-05,-2.53390844e-05,0.16359241,0.683681502,1.46723523,3.45792067,1.7353498
9.1541854e-05,-1.98305658e-05,0.171458282,0.685628613,1.48169457,3.45791436,1.73534978
9.1542854e-05,-1.42586368e-05,0.178776845,0.687431765,1.496965,3.45790379,1.73534976
9.1543854e-05,-8.64111428e-06,0.185524604,0.689085166,1.5129977,3.45788891,1.73534974
9.1544854e-05,-2.99596081e-06,0.191679874,0.690583502,1.52974141,3.45786971,1.73534973
9.1545854e-05,2.65877257e-06,0.197222859,0.691921952,1.5471426,3.45784623,1.73534971
9.1546854e-05,8.30500423e-06,0.202135711,0.693096205,1.56514565,3.45781854,1.73534969
9.1547854e-05,1.39246797e-05,0.206402591,0.694102471,1.58369299,3.45778673,1.73534967
9.1548854e-05,1.94998295e-05,0.210009721,0.694937499,1.60272535,3.45775096,1.73534966
9.1549854e-05,2.50126265e-05,0.212945429,0.695598583,1.62218186,3.45771142,1.73534964
9.1550854e-05,3.04454428e-05,0.21520019,0.696083573,1.64200034,3.45766833,1.73534962
9.1551854e-05,3.57809065e-05,0.216766654,0.696390884,1.66211742,3.45762198,1.73534961
9.1552854e-05,4.10019567e-05,0.217639679,0.696519497,1.68246879,3.45757266,1.73534959
9.1553854e-05,4.60918988e-05,0.21781634,0.696468969,1.7029894,3.45752073,1.73534958
9.1554854e-05,5.10344569e-05,0.217295947,0.696239428,1.72361363,3.45746658,1.73534956
9.1555854e-05,5.58138267e-05,0.216080046,0.695831578,1.74427557,3.45741063,1.73534954
9.1556854e-05,6.04147256e-05,0.214172415,0.695246695,1.76490914,3.45735334,1.73534953
9.1557854e-05,6.48224418e-05,0.211579054,0.694486625,1.7854484,3.45729519,1.73534951
9.1558854e-05,6.90228811e-05,0.20830817,0.693553776,1.80582767,3.45723671,1.73534949
9.1559854e-05,7.30026122e-05,0.204370146,0.692451113,1.82598182,3.45717842,1.73534947
9.1560854e-05,7.67489094e-05,0.199777515,0.691182145,1.84584641,3.4571209,1.73534946
9.1561854e-05,8.02497935e-05,0.194544914,0.689750919,1.86535794,3.45706456,1.73534944
9.1562854e-05,8.349407e-05,0.188689045,0.688162005,1.88445402,3.45700954,1.73534942
9.1563854e-05,8.64713651e-05,0.182228617,0.686420479,1.90307362,3.45695589,1.7353494
9.1564854e-05,8.91721585e-05,0.175184287,0.684531911,1.92115721,3.45690375,1.73534939
9.1565854e-05,9.1587814e-05,0.167578597,0.682502344,1.93864697,3.45685323,1.73534937
9.1566854e-05,9.37106075e-05,0.159435898,0.680338276,1.95548699,3.45680446,1.73534935
9.1567854e-05,9.5533751e-05,0.150782274,0.67804664,1.97162343,3.45675753,1.73534933
9.1568854e-05,9.70514148e-05,0.141645456,0.67563478,1.98700472,3.45671256,1.73534931
9.1569854e-05,9.8258746e-05,0.132054735,0.673110428,2.00158166,3.45666965,1.73534929
9.1570854e-05,9.9151884e-05,0.122040865,0.670481677,2.01530768,3.45662888,1.73534927
9.1571854e-05,9.9727973e-05,0.111635966,0.66775696,2.02813888,3.45659033,1.73534925
9.1572854e-05,9.99851709e-05,0.100873418,0.664945018,2.04003424,3.45655408,1.73534923
9.1573854e-05,9.99226551e-05,0.0897877532,0.662054873,2.05095573,3.4565202,1.73534921
9.1574854e-05,9.95406257e-05,0.0784145446,0.659095798,2.06086845,3.45648874,1.73534918
9.1575854e-05,9.88403041e-05,0.06679029,0.65607729,2.06974069,3.45645976,1.73534916
9.1576854e-05,9.78239298e-05,0.0549522941,0.653009036,2.0775441,3.45643328,1.73534914
