time_s,q79_3_drain,c79_17_node,filt_loop,audio_terminal,pin_bias,agc_store
0.0046584,3.34710334,3.37106213,0.00703917603,-0.383369667,0.039668554,1.16424569
0.0046592,3.34778809,3.37098128,0.00696141727,-0.391484606,0.0396621257,1.1642454
0.00466,3.34854854,3.37090114,0.00688439231,-0.399589163,0.0396396504,1.16424511
0.0046608,3.34841599,3.37082144,0.00680784336,-0.407683115,0.0396325843,1.16424482
0.0046616,3.34711662,3.37074168,0.00673125416,-0.415766227,0.0396510342,1.16424452
0.0046624,3.34597122,3.37066154,0.00665430767,-0.423838277,0.0396689704,1.16424423
0.0046632,3.34667641,3.37058159,0.00657758084,-0.431899058,0.0396620112,1.16424394
0.004664,3.34744461,3.37050236,0.00650160533,-0.439948362,0.0396395254,1.16424364
0.0046648,3.34729686,3.37042359,0.00642611174,-0.447985961,0.0396330096,1.16424335
0.0046656,3.34598862,3.37034476,0.0063505797,-0.456011624,0.0396517797,1.16424306
0.0046664,3.34486158,3.37026556,0.00627470055,-0.464025131,0.0396693745,1.16424276
0.0046672,3.34558735,3.37018656,0.0061990575,-0.472026281,0.0396618897,1.16424247
0.004668,3.34636234,3.3701083,0.00612418097,-0.480014864,0.0396394105,1.16424218
0.0046688,3.34619938,3.37003051,0.00604979297,-0.487990655,0.0396334484,1.16424189
0.0046696,3.34488325,3.36995265,0.00597536781,-0.495953424,0.0396525255,1.16424159
0.0046704,3.34377518,3.36987444,0.00590060775,-0.50390295,0.0396697688,1.1642413
0.0046712,3.34452126,3.36979645,0.00582610456,-0.51183903,0.039661762,1.16424101
0.004672,3.34530333,3.36971923,0.00575238391,-0.519761456,0.0396393014,1.16424071
0.0046728,3.34512503,3.36964247,0.00567915757,-0.527670003,0.0396338965,1.16424042
0.0046736,3.34380123,3.36956565,0.0056058955,-0.53556444,0.0396532692,1.16424013
0.0046744,3.34271258,3.36948848,0.00553230903,-0.543444552,0.03967015,1.16423983
0.0046752,3.34347931,3.36941157,0.00545899517,-0.551310139,0.0396616263,1.16423954
0.004676,3.34426751,3.36933542,0.0053864769,-0.559160996,0.039639201,1.16423925
0.0046768,3.34407354,3.36925974,0.0053144581,-0.566996902,0.039634358,1.16423896
0.0046776,3.34274302,3.36918401,0.00524240295,-0.574817631,0.0396540129,1.16423866
0.0046784,3.34167453,3.36910794,0.00517003448,-0.582622966,0.0396705215,1.16423837
0.0046792,3.3424615,3.36903213,0.00509795876,-0.59041271,0.0396614862,1.16423808
0.00468,3.34325595,3.36895712,0.00502669442,-0.598186658,0.0396391084,1.16423778
0.0046808,3.34304649,3.36888258,0.00495593377,-0.60594459,0.0396348289,1.16423749
0.0046816,3.34170956,3.36880798,0.0048851389,-0.613686277,0.039654754,1.1642372
0.0046824,3.34066171,3.36873307,0.00481404317,-0.621411508,0.0396708801,1.1642369
0.0046832,3.34146933,3.36865843,0.0047432568,-0.629120086,0.0396613375,1.16423661
0.004684,3.34226937,3.3685846,0.00467329366,-0.636811812,0.0396390233,1.16423632
0.0046848,3.3420439,3.36851125,0.00460383853,-0.644486469,0.0396353121,1.16423602
0.0046856,3.3407014,3.36843784,0.00453434904,-0.652143832,0.0396554942,1.16423573
0.0046864,3.33967492,3.36836412,0.00446456757,-0.659783694,0.0396712281,1.16423544
0.0046872,3.34050268,3.3682907,0.00439511487,-0.667405857,0.0396611854,1.16423515
0.004688,3.34130818,3.3682181,0.00432650096,-0.675010126,0.0396389488,1.16423485
0.0046888,3.34106706,3.36814599,0.0042583993,-0.682596282,0.0396358055,1.16423456
0.0046896,3.3397195,3.36807382,0.00419026389,-0.690164103,0.0396562317,1.16423427
0.0046904,3.33871476,3.36800135,0.00412185104,-0.697713379,0.039671564,1.16423397
0.0046912,3.33956315,3.36792921,0.00405378475,-0.705243919,0.0396610254,1.16423368
0.004692,3.34037356,3.36785789,0.00398656944,-0.712755526,0.0396388798,1.16423339
0.0046928,3.34011616,3.36778707,0.00391986949,-0.720247985,0.0396363094,1.16423309
0.0046936,3.33876433,3.36771619,0.00385313621,-0.727721079,0.0396569672,1.1642328
0.0046944,3.33778203,3.36764502,0.00378613543,-0.735174603,0.0396718883,1.16423251
0.0046952,3.33865058,3.3675742,0.00371949738,-0.742608366,0.0396608619,1.16423222
0.004696,3.33946558,3.36750422,0.00365372566,-0.750022176,0.0396388234,1.16423192
0.0046968,3.33919239,3.36743473,0.00358847303,-0.757415818,0.039636825,1.16423163
0.0046976,3.3378369,3.36736519,0.00352318749,-0.764789075,0.0396577,1.16423134
0.0046984,3.33687726,3.36729537,0.00345764816,-0.772141743,0.0396722013,1.16423104
0.0046992,3.33776631,3.36722592,0.00339249105,-0.779473633,0.0396606922,1.16423075
0.0047,3.3385857,3.36715732,0.00332821294,-0.786784552,0.0396387723,1.16423046
0.0047008,3.33829622,3.36708923,0.00326445663,-0.794074289,0.0396373493,1.16423017
0.0047016,3.33693764,3.36702108,0.00320066869,-0.801342629,0.0396584295,1.16422987
0.0047024,3.33600142,3.36695267,0.00313663735,-0.808589374,0.0396725019,1.16422958
0.0047032,3.3369108,3.36688463,0.00307300391,-0.815814336,0.039660518,1.16422929
0.004704,3.33773363,3.36681747,0.0030102626,-0.823017327,0.0396387334,1.16422899
0.0047048,3.33742823,3.36675082,0.00294804609,-0.830198139,0.0396378859,1.1642287
0.0047056,3.33606745,3.3666841,0.00288579795,-0.837356558,0.0396591564,1.16422841
0.0047064,3.33515495,3.36661714,0.00282332006,-0.844492383,0.0396727919,1.16422811
0.0047072,3.33608444,3.36655058,0.00276125973,-0.851605433,0.0396603399,1.16422782
0.004708,3.33691109,3.36648491,0.00270010384,-0.858695519,0.0396387023,1.16422753
0.0047088,3.33658948,3.36641974,0.00263947541,-0.865762432,0.0396384304,1.16422724
