frequency;user0 (gain);user1 (gain);user2 (gain);user3 (gain)
3151528.614763921;6.696948325433284;-6.060890671817255;4.477951420496301;8.279887576754238
3152254.364596601;6.714433016978879;-6.045737347697585;4.4779105999718345;8.282259764704632
3152980.281558597;6.7319421371862;-6.030559767860372;4.477869792525154;8.284632112521418
3153706.365688396;6.74947575569568;-6.0153578567821855;4.477828998147733;8.287004614330131
3154432.617024493;6.76703394243404;-6.000131538616936;4.47778821683101;8.289377264219963
3155159.035605394;6.784616767682133;-5.984880737171;4.477747448567646;8.291750056285483
3155885.621469614;6.802224301982152;-5.969605375951668;4.477706693348863;8.294122984584956
3156612.374655674;6.819856616218203;-5.954305378106262;4.477665951167544;8.296496043156921
3157339.295202107;6.837513781558675;-5.938980666484555;4.477625222014926;8.298869226028302
3158066.383147453;6.855195869494905;-5.923631163586314;4.477584505883197;8.30124252719802
3158793.638530262;6.872902951828309;-5.908256791592937;4.477543802763818;8.303615940657425
3159521.061389092;6.890635100674442;-5.8928574723321505;4.477503112649218;8.305989460357372
3160248.65176251;6.908392388484356;-5.877433127304499;4.477462435531352;8.308363080257498
3160976.409689092;6.926174887984137;-5.861983677682186;4.477421771401713;8.310736794264614
3161704.335207424;6.943982672263403;-5.846509044279177;4.477381120252693;8.313110596289885
3162432.428356098;6.961815814711563;-5.831009147576828;4.477340482076268;8.31548448021212
3163160.689173719;6.979674389039977;-5.8154839077184315;4.477299856864172;8.317858439894234
3163889.117698897;6.997558469293066;-5.79993324449794;4.47725924460835;8.320232469182656
3164617.713970253;7.015468129828956;-5.784357077367147;4.477218645300537;8.322606561895565
3165346.478026417;7.033403445366879;-5.768755325405863;4.477178058933642;8.324980711839096
3166075.409906027;7.05136449089799;-5.753127907386663;4.477137485498465;8.32735491278619
3166804.50964773;7.069351341801388;-5.737474741692688;4.477096924987654;8.329729158506424
3167533.777290182;7.08736407375635;-5.721795746376665;4.477056377392739;8.332103442740275
3168263.212872048;7.105402762779898;-5.706090839117345;4.477015842706148;8.334477759191097
3168992.816432002;7.123467485261501;-5.690359937245813;4.476975320919865;8.336852101587448
3169722.588008727;7.141558317854432;-5.674602957753678;4.4769348120249335;8.339226463583177
3170452.527640915;7.159675337630818;-5.658819817228435;4.476894316014496;8.341600838844755
3171182.635367267;7.17781862195149;-5.64301043193362;4.476853832879849;8.34397522100526
3171912.911226491;7.195988248566923;-5.6271747177445395;4.476813362613427;8.34634960369804
3172643.355257307;7.214184295510252;-5.611312590190129;4.47677290520674;8.348723980493638
3173373.967498442;7.232406841219705;-5.595423964415937;4.476732460652048;8.351098344983592
3174104.747988631;7.250655964451363;-5.5795087552034515;4.476692028941318;8.353472690713499
3174835.696766622;7.268931744314047;-5.563566876972316;4.476651610066076;8.355847011220284
3175566.813871167;7.287234260290722;-5.547598243744163;4.476611204019017;8.358221300015868
3176298.099341029;7.305563592202295;-5.5316027691847385;4.476570810791913;8.360595550595118
3177029.553214981;7.323919820208495;-5.515580366583128;4.476530430376532;8.36296975641509
3177761.175531804;7.342303024847345;-5.499530948849653;4.476490062764629;8.365343910932369
3178492.966330287;7.360713287031009;-5.483454428488167;4.476449707949151;8.367718007570026
3179224.925649229;7.379150687993291;-5.467350717665601;4.476409365920931;8.37009203973796
3179957.053527439;7.397615309370956;-5.451219728118387;4.47636903667292;8.372466000816424
3180689.350003732;7.416107233139096;-5.435061371222037;4.476328720196884;8.374839884164253
3181421.815116935;7.434626541651123;-5.418875557968875;4.47628841648437;8.377213683135626
3182154.448905881;7.453173317624525;-5.40266219894526;4.476248125527647;8.37958739104214
3182887.251409415;7.471747644163791;-5.386421204345937;4.476207847318925;8.381961001190803
3183620.222666388;7.490349604714607;-5.370152483981049;4.476167581850024;8.384334506845633
3184353.362715662;7.508979283124582;-5.353855947254847;4.4761273291131785;8.386707901266249
3185086.671596108;7.527636763587394;-5.3375315031941195;4.476087089099714;8.389081177681799
3185820.149346605;7.546322130730161;-5.321179060389094;4.476046861802598;8.391454329316657
3186553.796006042;7.565035469496118;-5.30479852706505;4.47600664721315;8.39382734934802
3187287.611613314;7.5837768652550155;-5.288389811016954;4.4759664453238655;8.3962002309481
3188021.596207328;7.602546403730084;-5.271952819654928;4.475926256126307;8.398572967258707
3188755.749827;7.621344171068106;-5.2554874599655;4.475886079612742;8.400945551420863
3189490.072511254;7.640170253755478;-5.23899363853089;4.47584591577521;8.40331797651116
3190224.564299022;7.659024738715344;-5.222471261521154;4.475805764605737;8.405690235630757
3190959.225229247;7.677907713224084;-5.205920234692735;4.47576562609638;8.408062321820438
3191694.05534088;7.696819264976956;-5.1893404633865465;4.475725500239167;8.410434228124332
3192429.05467288;7.715759482050968;-5.172731852530764;4.475685387025912;8.412805947555821
3193164.223264217;7.73472845293171;-5.156094306623081;4.475645286448898;8.415177473105892
3193899.561153868;7.753726266498456;-5.139427729745023;4.475605198500171;8.417548797743308
3194635.06838082;7.772753012020649;-5.122732025564876;4.475565123171304;8.41991991441422
3195370.744984069;7.791808779186945;-5.106007097298015;4.475525060455059;8.422290816029902
3196106.591002621;7.810893658098221;-5.0892528477535155;4.475485010343247;8.424661495508486
3196842.606475488;7.8300077392342216;-5.072469179321752;4.475444972827241;8.427031945728734
3197578.791441693;7.849151113524789;-5.0556559939057655;4.475404947900724;8.429402159529829
3198315.145940269;7.8683238722496665;-5.038813193057894;4.475364935553872;8.431772129753686
3199051.670010256;7.887526107170411;-5.021940677832863;4.475324935779465;8.434141849223804
3199788.363690704;7.9067579104223125;-5.005038348858472;4.475284948569811;8.436511310710973
3200525.227020671;7.926019374573241;-4.988106106328432;4.475244973916952;8.438880506984724
3201262.260039225;7.945310592609303;-4.971143849998993;4.475205011812737;8.441249430795558
3201999.462785444;7.964631657918638;-4.954151479176473;4.4751650622492365;8.443618074845872
3202736.835298412;7.983982664348056;-4.937128892715338;4.475125125218764;8.445986431844629
3203474.377617225;8.003363706136579;-4.920075989033005;4.475085200713138;8.448354494456447
3204212.089780985;8.022774877966905;-4.902992666101376;4.475045288723982;8.450722255344298
3204949.971828807;8.042216274952326;-4.885878821405692;4.475005389244306;8.453089707113712
3205688.023799812;8.061687992639163;-4.868734352016154;4.474965502265499;8.455456842389818
3206426.24573313;8.081190127013002;-4.851559154511776;4.474925627780328;8.457823653744452
3207164.637667902;8.100722774461973;-4.834353125052666;4.474885765779954;8.460190133734685
3207903.199643275;8.120286031844119;-4.81711615930293;4.474845916256933;8.462556274890115
3208641.931698408;8.13987999645931;-4.799848152469452;4.474806079203577;8.464922069725183
3209380.833872469;8.159504766025968;-4.782548999316376;4.474766254611298;8.467287510731044
3210119.906204631;8.179160438731003;-4.765218594100156;4.474726442473099;8.469652590358061
3210859.148734081;8.198847113179202;-4.747856830659516;4.474686642779923;8.472017301058791
3211598.561500012;8.218564888458475;-4.73046360230293;4.474646855525035;8.474381635236371
3212338.144541628;8.238313864079162;-4.713038801912244;4.474607080699816;8.476745585291592
3213077.897898139;8.258094140014602;-4.695582321874906;4.4745673182963825;8.479109143593126
3213817.821608768;8.277905816704681;-4.678094054088175;4.474527568307311;8.481472302485546
3214557.915712744;8.297748995011863;-4.660573889993506;4.474487830724222;8.483835054281148
3215298.180249306;8.317623776285442;-4.643021720543238;4.474448105539005;8.486197391289673
3216038.615257702;8.33753026233476;-4.625437436180865;4.474408392744457;8.488559305771169
3216779.22077719;8.357468555421766;-4.607820926893563;4.474368692332232;8.490920789983097
3217519.996847035;8.377438758273488;-4.590172082166807;4.474329004294454;8.49328183614584
3218260.943506513;8.397440974100203;-4.572490790983422;4.474289328623687;8.495642436459935
3219002.060794908;8.417475306554461;-4.55477694186313;4.474249665311342;8.498002583106247
3219743.348751512;8.437541859770258;-4.5370304228118306;4.4742100143495644;8.500362268232525
3220484.80741563;8.45764073837865;-4.519251121319034;4.47417037573116;8.502721483966527
3221226.436826571;8.47777204745345;-4.50143892440593;4.474130749447779;8.505080222411602
3221968.237023656;8.497935892559731;-4.483593718578635;4.474091135491575;8.507438475646788
3222710.208046216;8.518132379730249;-4.465715389846306;4.474051533854412;8.509796235722142
3223452.349933587;8.538361615512928;-4.447803823692318;4.4740119445289;8.512153494676346
3224194.662725119;8.558623706908701;-4.429858905104403;4.473972367507185;8.514510244505919
3224937.146460168;8.578918761408524;-4.4118805185725805;4.473932802780914;8.51686647720019
3225679.801178099;8.599246886993802;-4.393868548055144;4.4738932503424635;8.519222184706482
3226422.626918287;8.619608192142108;-4.375822877001944;4.473853710183967;8.521577358960087
3227165.623720116;8.640002785815282;-4.3577433883454955;4.473814182297573;8.523931991863204
3227908.791622979;8.660430777474984;-4.339629964505866;4.47377466667519;8.52628607530566
3228652.130666278;8.68089227707085;-4.321482487369273;4.473735163309193;8.52863960113093
3229395.640889424;8.701387395074972;-4.303300838304619;4.47369567219172;8.53099256118787
3230139.322331838;8.721916242427453;-4.2850848981487895;4.473656193315163;8.533344947261078
3230883.175032948;8.742478930571593;-4.266834547243859;4.473616726670739;8.53569675114471
3231627.199032192;8.763075571501044;-4.2485496653497945;4.473577272251529;8.538047964599311
3232371.394369019;8.783706277653534;-4.2302301317338475;4.473537830049223;8.540398579338161
3233115.761082884;8.804371162044548;-4.211875825096291;4.473498400056684;8.542748587084157
3233860.299213253;8.82507033811905;-4.193486623654564;4.473458982264893;8.545097979508721
3234605.008799602;8.845803919903032;-4.175062405034621;4.473419576666718;8.547446748270938
3235349.889881413;8.866572021900632;-4.156603046349102;4.473380183254087;8.549794884995642
3236094.94249818;8.887374759140133;-4.138108424161194;4.473340802019155;8.552142381282174
3236840.166689403;8.908212247191544;-4.119578414475933;4.473301432954583;8.554489228712892
3237585.562494596;8.929084602116781;-4.10101289277992;4.473262076052041;8.556835418844663
3238331.129953276;8.949991940506925;-4.0824117339966035;4.47322273130371;8.559180943199816
3239076.869104975;8.970934379481601;-4.063774812499419;4.473183398701771;8.56152579327925
