phase,candidate,filter_path,VFO_T1_L1,VFO_T1_L2,VFO_T1_K,VFO_C7,VFO_C8,VFO_C9,VFO_C10,VFO_C11,VFO_C12,raw_mixer_mvpp,filter_input_mvpp,filter_output_mvpp,frequency_mhz,filter_gain_db,loaded_out_mvpp
t1_slug_split,split-0.10,10 m,4.86,5.940000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,405.24128121304864,399.67913581596764,99.28853193531714,20.5,-12.096247766659314,49.366888241194054
t1_slug_split,split-0.10,10 m,4.86,5.940000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,184.40997076963163,181.73212495227597,35.669002231513176,21.0,-14.142814874561422,17.72091236117182
t1_slug_split,split-0.05,10 m,5.13,5.670000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,553.6482132441722,547.3149870348233,191.3455133361578,19.0,-9.128381143251875,95.35147535466868
t1_slug_split,split-0.05,10 m,5.13,5.670000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,466.7112241293839,460.7461112160311,187.68024818089464,19.5,-7.8008621862752845,93.45497429621045
t1_slug_split,split-0.05,10 m,5.13,5.670000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,406.68291850796203,400.9820656473927,154.01471811188262,20.0,-8.311254469113937,76.63467155769602
t1_slug_split,split-0.05,10 m,5.13,5.670000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,356.5581922521357,351.25024078733463,107.84137926412139,20.5,-10.256623937693545,53.61924658206022
t1_slug_split,split-0.05,10 m,5.13,5.670000000000001,0.04,16.6,5.1,14.5,16.6,5.1,14.5,165.31004988298116,162.7117770563889,38.6814154687396,21.0,-12.478332608278304,19.21757242400117
t1_slug_split,split+0.00,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,479.6720989384886,473.9934212697969,130.09041710405978,19.0,-11.23054015657255,64.83016700193981
t1_slug_split,split+0.00,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,406.87591427223043,401.57632216417653,139.53183303134284,19.5,-9.18189596639874,69.48231697158072
t1_slug_split,split+0.00,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,356.34183982793866,351.1494199131809,141.60322946566717,20.0,-7.888375942704058,70.45946265004322
t1_slug_split,split+0.00,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,319.1615522135751,314.06521746154306,118.29189569272451,20.5,-8.481296990921663,58.81481954702927
t1_slug_split,split+0.00,10 m,5.4,5.4,0.04,16.6,5.1,14.5,16.6,5.1,14.5,150.82014992197108,148.26393807052045,44.3866591845101,21.0,-10.475661455432288,22.051919773590324
t1_slug_split,split+0.05,10 m,5.670000000000001,5.13,0.04,16.6,5.1,14.5,16.6,5.1,14.5,425.82833095064154,420.52804951454874,89.61091030258513,19.0,-13.428681595325816,44.658170692069824
t1_slug_split,split+0.05,10 m,5.670000000000001,5.13,0.04,16.6,5.1,14.5,16.6,5.1,14.5,366.21443867089766,361.2660946411606,96.79976802336134,19.5,-11.439057755167338,48.204222824016284
t1_slug_split,split+0.05,10 m,5.670000000000001,5.13,0.04,16.6,5.1,14.5,16.6,5.1,14.5,321.6392148707771,316.8555462141999,107.86115346127325,20.0,-9.35992506170695,53.67070642244964
t1_slug_split,split+0.05,10 m,5.670000000000001,5.13,0.04,16.6,5.1,14.5,16.6,5.1,14.5,288.9253655559934,284.13547620234306,113.19055026155874,20.5,-7.9943058093373285,56.27833742626418
t1_slug_split,split+0.05,10 m,5.670000000000001,5.13,0.04,16.6,5.1,14.5,16.6,5.1,14.5,138.90341156274596,136.39350401739912,51.1150023473542,21.0,-8.524906033863289,25.3945708522132
t1_slug_split,split+0.10,10 m,5.940000000000001,4.86,0.04,16.6,5.1,14.5,16.6,5.1,14.5,385.08780836478167,380.0265003307563,63.87479548235095,19.0,-15.489687193324668,31.832459308694155
t1_slug_split,split+0.10,10 m,5.940000000000001,4.86,0.04,16.6,5.1,14.5,16.6,5.1,14.5,335.7902835590196,331.02229734316427,67.66765870242926,19.5,-13.78952196485547,33.697180963140084
t1_slug_split,split+0.10,10 m,5.940000000000001,4.86,0.04,16.6,5.1,14.5,16.6,5.1,14.5,297.3983152709302,292.8119167583372,75.1591634828206,20.0,-11.812136194605255,37.39879635884264
t1_slug_split,split+0.10,10 m,5.940000000000001,4.86,0.04,16.6,5.1,14.5,16.6,5.1,14.5,267.0361953907585,262.5210648021842,86.00841807776604,20.5,-9.692463943977364,42.763621166956284
t1_slug_split,split+0.10,10 m,5.940000000000001,4.86,0.04,16.6,5.1,14.5,16.6,5.1,14.5,128.50843435371593,126.11362860782022,49.3678789489249,21.0,-8.146351062220162,24.52655533741877
80m_coarse,scale0.850,80 m,5.4,5.4,0.04,16.6,5.1,16.02703549802415,16.6,5.1,16.02703549802415,846.7598558331276,837.4578074796606,313.81399644648985,12.5,-8.52581252179353,157.62403775580898
80m_coarse,scale0.850,80 m,5.4,5.4,0.04,16.6,5.1,16.02703549802415,16.6,5.1,16.02703549802415,520.6163899152878,514.286905089149,250.2859369728892,12.75,-6.255380362324806,125.69663465130915
80m_coarse,scale0.850,80 m,5.4,5.4,0.04,16.6,5.1,16.02703549802415,16.6,5.1,16.02703549802415,299.2147057962107,295.0735192741794,168.66689136099586,13.0,-4.858007915296944,84.69378881378732
80m_coarse,scale0.925,80 m,5.4,5.4,0.04,16.6,5.1,17.441185689026284,16.6,5.1,17.441185689026284,646.2944424481731,638.1755608392788,335.65190718153696,12.5,-5.581020990301624,168.58681491292197
80m_coarse,scale0.925,80 m,5.4,5.4,0.04,16.6,5.1,17.441185689026284,16.6,5.1,17.441185689026284,433.8980768417179,427.6967422858031,249.90080373825558,12.75,-4.667365787635021,125.50458610820466
80m_coarse,scale0.925,80 m,5.4,5.4,0.04,16.6,5.1,17.441185689026284,16.6,5.1,17.441185689026284,260.82094370571417,256.89425569675115,125.6741131984388,13.0,-6.210171278542628,63.108703967807514
80m_coarse,scale1.000,80 m,5.4,5.4,0.04,16.6,5.1,18.855335880028413,16.6,5.1,18.855335880028413,551.651093023233,543.6109027366442,319.0642534187157,12.5,-4.6282001595710796,160.2618773254915
80m_coarse,scale1.000,80 m,5.4,5.4,0.04,16.6,5.1,18.855335880028413,16.6,5.1,18.855335880028413,377.9641862196345,372.2442131674073,173.22096454666328,12.75,-6.644550049386028,87.00362602882534
80m_coarse,scale1.000,80 m,5.4,5.4,0.04,16.6,5.1,18.855335880028413,16.6,5.1,18.855335880028413,219.97415560236712,216.54429922990386,74.3943855010124,13.0,-9.280131881750227,37.35974176907291
80m_coarse,scale1.075,80 m,5.4,5.4,0.04,16.6,5.1,20.269486071030542,16.6,5.1,20.269486071030542,479.1117539946041,471.83940469564897,212.34255519809773,12.5,-6.935143363818558,106.67554771470279
80m_coarse,scale1.075,80 m,5.4,5.4,0.04,16.6,5.1,20.269486071030542,16.6,5.1,20.269486071030542,318.6421667588169,313.64485323611643,103.20394096984167,12.75,-9.654837673719287,51.84006470124139
80m_coarse,scale1.075,80 m,5.4,5.4,0.04,16.6,5.1,20.269486071030542,16.6,5.1,20.269486071030542,186.7589403933525,183.6635998410446,46.082871559204975,13.0,-12.009671177870052,23.142928437300515
80m_coarse,scale1.150,80 m,5.4,5.4,0.04,16.6,5.1,21.683636262032675,16.6,5.1,21.683636262032675,404.38625658445375,398.0219340010712,127.97905284539027,12.5,-9.855362278610322,64.2998798465496
80m_coarse,scale1.150,80 m,5.4,5.4,0.04,16.6,5.1,21.683636262032675,16.6,5.1,21.683636262032675,271.7556423655469,267.2189669945948,65.32861718984158,12.75,-12.235276304040308,32.81644633800677
80m_coarse,scale1.150,80 m,5.4,5.4,0.04,16.6,5.1,21.683636262032675,16.6,5.1,21.683636262032675,161.88135247600047,158.97578153925141,30.966318823884173,13.0,-14.208827755877545,15.551897521129437
80m_fine,fine0.940,80 m,5.4,5.4,0.04,16.6,5.1,16.394714547684707,16.6,5.1,16.394714547684707,783.7810042456425,774.9297900863619,318.00055565530647,12.5,-7.736689552975259,159.72577765470524
80m_fine,fine0.940,80 m,5.4,5.4,0.04,16.6,5.1,16.394714547684707,16.6,5.1,16.394714547684707,490.2821631916836,484.0560052762943,255.2573304559782,12.75,-5.558347789076146,128.19275553176203
