target_per_diode_current_a,frequency_hz,q79_3_gate1_gain_db
0.0,8855600.0,40.89326500453317
0.0,8855800.0,40.908407187677284
0.0,8856000.0,40.92356456712929
0.0,8856200.0,40.93873709546594
0.0,8856400.0,40.95392488080808
0.0,8856600.0,40.969128030083866
0.0,8856800.0,40.984346416374215
0.0,8857000.0,40.99958014545572
0.0,8857200.0,41.014829321921255
0.0,8857400.0,41.030093817747556
0.0,8857600.0,41.04537381340091
0.0,8857800.0,41.06066925700814
0.0,8858000.0,41.07598017334755
0.0,8858200.0,41.091306663174045
0.0,8858400.0,41.10664867314064
0.0,8858600.0,41.122006378819485
0.0,8858800.0,41.13737964929047
0.0,8859000.0,41.15276858228754
0.0,8859200.0,41.16817319846298
0.0,8859400.0,41.183593593652375
0.0,8859600.0,41.19902971122624
0.0,8859800.0,41.21448164553799
0.0,8860000.0,41.229949414410285
0.0,8860200.0,41.24543303506626
0.0,8860400.0,41.26093252413221
0.0,8860600.0,41.27644797262822
0.0,8860800.0,41.29197932073885
0.0,8861000.0,41.307526732756365
0.0,8861200.0,41.323090147557416
0.0,8861400.0,41.338669652876476
0.0,8861600.0,41.35426518669502
0.0,8861800.0,41.3698769095086
0.0,8862000.0,41.38550475801375
0.0,8862200.0,41.40114881670727
0.0,8862400.0,41.41680909519832
0.0,8862600.0,41.43248567618332
0.0,8862800.0,41.44817849422392
0.0,8863000.0,41.46388770401483
0.0,8863200.0,41.479613238868055
0.0,8863400.0,41.49535517831595
0.0,8863600.0,41.51111360080908
0.0,8863800.0,41.52688843800648
0.0,8864000.0,41.542679767000436
0.0,8864200.0,41.55848766381141
0.0,8864400.0,41.574312130931794
0.0,8864600.0,41.59015324264583
0.0,8864800.0,41.606010999980484
0.0,8865000.0,41.62188540343264
0.0,8865200.0,41.637776452971806
0.0,8865400.0,41.65368436344569
0.0,8865600.0,41.669608989254826
0.0,8865800.0,41.68555047148579
0.0,8866000.0,41.70150880684552
0.0,8866200.0,41.71748406280467
0.0,8866400.0,41.73347616351175
0.0,8866600.0,41.74948531718708
0.0,8866800.0,41.765511375564415
0.0,8867000.0,41.78155454468336
0.0,8867200.0,41.79761474603402
0.0,8867400.0,41.81369211260731
0.0,8867600.0,41.829786564780136
0.0,8867800.0,41.8458982336529
0.0,8868000.0,41.8620271086011
0.0,8868200.0,41.87817324848899
0.0,8868400.0,41.89433664134413
0.0,8868600.0,41.910517414138
0.0,8868800.0,41.92671548359466
0.0,8869000.0,41.94293097483805
0.0,8869200.0,41.95916394217018
0.0,8869400.0,41.97541436972391
0.0,8869600.0,41.991682310235305
0.0,8869800.0,42.00796774653718
0.0,8870000.0,42.02427086741717
0.0,8870200.0,42.04059151630078
0.0,8870400.0,42.05692987992115
0.0,8870600.0,42.07328593777774
0.0,8870800.0,42.08965973721877
0.0,8871000.0,42.10605132464317
0.0,8871200.0,42.12246067747596
0.0,8871400.0,42.13888790851485
0.0,8871600.0,42.155333061334105
0.0,8871800.0,42.17179611093108
0.0,8872000.0,42.18827716691641
0.0,8872200.0,42.20477613530112
0.0,8872400.0,42.22129325849303
0.0,8872600.0,42.23782837366003
0.0,8872800.0,42.25438165360622
0.0,8873000.0,42.27095306857648
0.0,8873200.0,42.28754272191579
0.0,8873400.0,42.30415058231578
0.0,8873600.0,42.320776751065466
0.0,8873800.0,42.33742119531874
0.0,8874000.0,42.35408401432498
0.0,8874200.0,42.37076523982716
0.0,8874400.0,42.38746490268611
0.0,8874600.0,42.40418303288457
0.0,8874800.0,42.42091965953112
0.0,8875000.0,42.43767487646832
0.0,8875200.0,42.454448645211414
0.0,8875400.0,42.47124105762207
0.0,8875600.0,42.48805213897388
0.0,8875800.0,42.5048819787854
0.0,8876000.0,42.52173053527682
0.0,8876200.0,42.538597896020235
0.0,8876400.0,42.55548408252248
0.0,8876600.0,42.572389115453895
0.0,8876800.0,42.58931307912096
0.0,8877000.0,42.60625605649927
0.0,8877200.0,42.62321793658608
0.0,8877400.0,42.640198929023455
0.0,8877600.0,42.65719898526645
0.0,8877800.0,42.67421812030234
0.0,8878000.0,42.691256475744616
0.0,8878200.0,42.708314000629805
0.0,8878400.0,42.725390770629936
0.0,8878600.0,42.7424868601241
0.0,8878800.0,42.7596022157696
0.0,8879000.0,42.77673697321526
0.0,8879200.0,42.793891203365376
0.0,8879400.0,42.811064787320674
0.0,8879600.0,42.828257920002216
0.0,8879800.0,42.845470543692805
0.0,8880000.0,42.86270278782327
0.0,8880200.0,42.879954655380494
0.0,8880400.0,42.89722614859883
0.0,8880600.0,42.91451739316337
0.0,8880800.0,42.931828327098174
0.0,8881000.0,42.949159073739864
0.0,8881200.0,42.96650969297354
0.0,8881400.0,42.98388012025014
0.0,8881600.0,43.00127053671826
0.0,8881800.0,43.018680875890794
0.0,8882000.0,43.036111193530175
0.0,8882200.0,43.05356160530909
0.0,8882400.0,43.07103210323017
0.0,8882600.0,43.088522678594984
0.0,8882800.0,43.10603350424416
0.0,8883000.0,43.12356450836484
0.0,8883200.0,43.14111580044859
0.0,8883400.0,43.15868736756983
0.0,8883600.0,43.17627931663787
0.0,8883800.0,43.19389163264479
0.0,8884000.0,43.211524419939465
0.0,8884200.0,43.22917766145274
0.0,8884400.0,43.246851399226514
0.0,8884600.0,43.264545793456726
0.0,8884800.0,43.28226070460666
0.0,8885000.0,43.29999634989217
0.0,8885200.0,43.317752647536764
0.0,8885400.0,43.335529752262225
0.0,8885600.0,43.353327580548196
0.0,8885800.0,43.37114628441337
0.0,8886000.0,43.388985896211054
0.0,8886200.0,43.40684638852211
0.0,8886400.0,43.42472785043448
0.0,8886600.0,43.44263036946919
0.0,8886800.0,43.4605539149553
0.0,8887000.0,43.47849857202189
0.0,8887200.0,43.49646442424958
0.0,8887400.0,43.51445143776684
0.0,8887600.0,43.53245963596217
0.0,8887800.0,43.550489214319185
0.0,8888000.0,43.568540077862195
0.0,8888200.0,43.58661230396279
0.0,8888400.0,43.60470596848099
0.0,8888600.0,43.62282114577201
0.0,8888800.0,43.640957794458515
0.0,8889000.0,43.65911598662157
0.0,8889200.0,43.67729584973467
0.0,8889400.0,43.69549728227703
0.0,8889600.0,43.71372046588641
0.0,8889800.0,43.73196541021683
0.0,8890000.0,43.75023212393772
0.0,8890200.0,43.768520671024085
0.0,8890400.0,43.78683105783753
0.0,8890600.0,43.80516345791516
0.0,8890800.0,43.82351776276707
0.0,8891000.0,43.84189414295008
0.0,8891200.0,43.86029254388297
0.0,8891400.0,43.87871307723934
0.0,8891600.0,43.89715579735602
0.0,8891800.0,43.91562070182975
0.0,8892000.0,43.934107897777054
0.0,8892200.0,43.95261738024823
0.0,8892400.0,43.971149198369545
0.0,8892600.0,43.98970339989293
0.0,8892800.0,44.00828003120288
0.0,8893000.0,44.026879191958166
0.0,8893200.0,44.04550087095994
0.0,8893400.0,44.06414516493267
0.0,8893600.0,44.08281206022515
0.0,8893800.0,44.10150165065545
0.0,8894000.0,44.12021397419807
0.0,8894200.0,44.138949013574226
0.0,8894400.0,44.157706912113156
0.0,8894600.0,44.17648770350475
0.0,8894800.0,44.19529136655568
0.0,8895000.0,44.214118039655624
0.0,8895200.0,44.23296769892123
0.0,8895400.0,44.25184042613257
0.0,8895600.0,44.270736248215016
0.0,8895800.0,44.28965519083199
0.0,8896000.0,44.30859738417462
0.0,8896200.0,44.327562797935265
0.0,8896400.0,44.3465515590098
0.0,8896600.0,44.36556363450294
0.0,8896800.0,44.38459909561573
0.0,8897000.0,44.4036579595553
0.0,8897200.0,44.42274034671955
0.0,8897400.0,44.4418462712128
0.0,8897600.0,44.460975797915474
0.0,8897800.0,44.48012893820468
0.0,8898000.0,44.49930575401968
0.0,8898200.0,44.518506305669206
0.0,8898400.0,44.53773060032545
0.0,8898600.0,44.556978746803175
0.0,8898800.0,44.57625074928232
0.0,8899000.0,44.59554671314558
0.0,8899200.0,44.614866588554385
0.0,8899400.0,44.63421052877884
0.0,8899600.0,44.653578481280064
0.0,8899800.0,44.67297059573535
0.0,8900000.0,44.69238681693784
0.0,8900200.0,44.71182729100611
0.0,8900400.0,44.73129201047671
0.0,8900600.0,44.75078101707281
0.0,8900800.0,44.77029435099415
0.0,8901000.0,44.789832100966024
0.0,8901200.0,44.80939435375674
0.0,8901400.0,44.828981044740374
0.0,8901600.0,44.84859225781094
0.0,8901800.0,44.86822812452307
0.0,8902000.0,44.887888576146466
0.0,8902200.0,44.90757374085179
0.0,8902400.0,44.9272836459491
0.0,8902600.0,44.94701831730278
0.0,8902800.0,44.96677782837146
0.0,8903000.0,44.98656220181891
0.0,8903200.0,45.00637150769781
0.0,8903400.0,45.0262057655073
0.0,8903600.0,45.046065041930625
0.0,8903800.0,45.065949401813306
0.0,8904000.0,45.08585885980891
0.0,8904200.0,45.105793525702175
0.0,8904400.0,45.12575336259864
0.0,8904600.0,45.14573842875332
0.0,8904800.0,45.16574882855173
0.0,8905000.0,45.1857846163462
0.0,8905200.0,45.20584574931789
0.0,8905400.0,45.225932326539365
0.0,8905600.0,45.24604439741061
0.0,8905800.0,45.26618205695997
0.0,8906000.0,45.28634525626347
0.0,8906200.0,45.306534087005346
0.0,8906400.0,45.32674859167738
0.0,8906600.0,45.34698881106888
0.0,8906800.0,45.36725483109873
0.0,8907000.0,45.38754664214015
0.0,8907200.0,45.40786432653835
0.0,8907400.0,45.42820791804466
0.0,8907600.0,45.44857744875805
0.0,8907800.0,45.46897299541202
0.0,8908000.0,45.48939458650449
0.0,8908200.0,45.50984224891144
0.0,8908400.0,45.530316053848246
0.0,8908600.0,45.550816070495
0.0,8908800.0,45.57134227453795
0.0,8909000.0,45.591894777395304
0.0,8909200.0,45.61247359701259
0.0,8909400.0,45.63307874977539
0.0,8909600.0,45.65371029582258
0.0,8909800.0,45.67436833851821
0.0,8910000.0,45.69505284357301
0.0,8910200.0,45.71576391055163
0.0,8910400.0,45.736501502032034
0.0,8910600.0,45.75726575858904
0.0,8910800.0,45.77805668404798
0.0,8911000.0,45.79887432531131
0.0,8911200.0,45.819718682943666
0.0,8911400.0,45.840589889072106
0.0,8911600.0,45.861487896171596
0.0,8911800.0,45.88241278808867
0.0,8912000.0,45.90336460237741
0.0,8912200.0,45.924343374756276
0.0,8912400.0,45.945349182926876
0.0,8912600.0,45.96638201495141
0.0,8912800.0,45.9874419447058
0.0,8913000.0,46.00852895687339
0.0,8913200.0,46.02964320831902
0.0,8913400.0,46.0507846364808
0.0,8913600.0,46.07195330740632
0.0,8913800.0,46.09314928497874
0.0,8914000.0,46.11437258796627
0.0,8914200.0,46.135623233417924
0.0,8914400.0,46.156901322181554
0.0,8914600.0,46.1782068246253
0.0,8914800.0,46.19953983748424
0.0,8915000.0,46.22090037010618
0.0,8915200.0,46.242288430179485
0.0,8915400.0,46.2637041082061
0.0,8915600.0,46.28514740796526
0.0,8915800.0,46.30661841565812
0.0,8916000.0,46.32811708928665
0.0,8916200.0,46.34964351111413
0.0,8916400.0,46.371197719275415
0.0,8916600.0,46.392779708308666
0.0,8916800.0,46.41438959570288
0.0,8917000.0,46.43602733055219
0.0,8917200.0,46.457692984720424
0.0,8917400.0,46.47938654533098
0.0,8917600.0,46.50110816236284
0.0,8917800.0,46.522857736712986
0.0,8918000.0,46.54463537304646
0.0,8918200.0,46.566441091753035
0.0,8918400.0,46.58827491135022
0.0,8918600.0,46.61013684849617
0.0,8918800.0,46.63202695848003
0.0,8919000.0,46.65394529434943
0.0,8919200.0,46.67589182637761
0.0,8919400.0,46.697866643954065
0.0,8919600.0,46.71986971365097
0.0,8919800.0,46.74190112057303
0.0,8920000.0,46.76396082764501
0.0,8920200.0,46.78604895550799
0.0,8920400.0,46.80816542352478
0.0,8920600.0,46.830310308396534
0.0,8920800.0,46.852483644840746
0.0,8921000.0,46.87468546547284
0.0,8921200.0,46.89691576155879
0.0,8921400.0,46.919174522693
0.0,8921600.0,46.94146185399375
0.0,8921800.0,46.96377774084937
0.0,8922000.0,46.986122205878516
0.0,8922200.0,47.00849523092231
0.0,8922400.0,47.03089691220059
0.0,8922600.0,47.05332718890258
0.0,8922800.0,47.075786114425085
0.0,8923000.0,47.098273739806714
0.0,8923200.0,47.120790037218256
0.0,8923400.0,47.14333501546055
0.0,8923600.0,47.16590871948229
0.0,8923800.0,47.188511153968776
0.0,8924000.0,47.21114232171827
0.0,8924200.0,47.23380226142437
0.0,8924400.0,47.25649093418929
0.0,8924600.0,47.27920841237893
0.0,8924800.0,47.301954653325055
0.0,8925000.0,47.32472972506245
0.0,8925200.0,47.34753358121178
0.0,8925400.0,47.37036624835878
0.0,8925600.0,47.393227713846706
0.0,8925800.0,47.41611803723052
0.0,8926000.0,47.43903716488637
0.0,8926200.0,47.461985115432235
0.0,8926400.0,47.48496190538593
0.0,8926600.0,47.50796754918081
0.0,8926800.0,47.5310019861863
0.0,8927000.0,47.5540653000963
0.0,8927200.0,47.577157426575916
0.0,8927400.0,47.600278372456025
0.0,8927600.0,47.623428178671226
0.0,8927800.0,47.646606775734206
0.0,8928000.0,47.66981420070792
0.0,8928200.0,47.693050416664214
0.0,8928400.0,47.71631545656777
0.0,8928600.0,47.73960927980763
0.0,8928800.0,47.76293184424162
0.0,8929000.0,47.78628321253214
0.0,8929200.0,47.80966333865991
0.0,8929400.0,47.83307217511972
0.0,8929600.0,47.856509743244935
0.0,8929800.0,47.879975992032115
0.0,8930000.0,47.903470973932976
0.0,8930200.0,47.926994564482015
0.0,8930400.0,47.95054684721806
0.0,8930600.0,47.97412772936167
0.0,8930800.0,47.997737220893924
0.0,8931000.0,48.02137526068823
