frequency;user0 (gain);user3 (gain)
28994290.38487553;-15.220106451713274;34.70194717759466
28997072.2608557;-15.222651636260956;34.699645758750385
28999854.40374476;-15.228297828568728;34.6942432982683
29002636.81356832;-15.237035346876011;34.685749477911415
29005419.490352;-15.248847944884787;34.67418054398043
29008202.43412141;-15.263712941303883;34.65955917776893
29010985.64490215;-15.281601359757257;34.641914355655956
29013769.12271987;-15.302478142403439;34.62128113548554
29016552.86760016;-15.326302391523681;34.59770041497886
29019336.87956866;-15.353027639479944;34.57121866177688
29022121.15865099;-15.382602158472585;34.54188760368124
29024905.70487278;-15.41496929959687;34.50976388960095
29027690.51825967;-15.450067845037072;34.47490873735247
29030475.59883728;-15.487832399191994;34.4373875425411
29033260.94663125;-15.528193765156571;34.39726950207236
29036046.56166722;-15.571079357606536;34.35462720127495
29038832.44397083;-15.616413603555912;34.30953621313848
29041618.59356772;-15.664118353975038;34.262074686692394
29044405.01048354;-15.714113288774119;34.21232294203129
29047191.69474394;-15.76631630914898;34.16036307796169
29049978.64637456;-15.820643938997307;34.10627857058746
29052765.86540107;-15.877011682549975;34.05015391568139
29055553.35184911;-15.93533439557924;33.99207425747329
29058341.10574435;-15.995526624131514;33.93212504991941
29061129.12711244;-16.057502927104277;33.87039173412588
29063917.41597904;-16.121178176038043;33.806959438553754
29066705.97236983;-16.186467832127953;33.74191270201036
29069494.79631047;-16.253288213173526;33.67533520669979
29072283.88782663;-16.3215567145196;33.607309557278796
29075073.24694398;-16.3911920292519;33.53791706066473
29077862.8736882;-16.4621143318962;33.467237542335134
29080652.76808496;-16.534245446821576;33.395349177922824
29083442.93015995;-16.607508995835648;33.32232834562332
29086233.35993885;-16.681830519151365;33.248249505225814
29089024.05744734;-16.757137575728336;33.17318509777306
29091815.02271112;-16.833359844387353;33.097205444447944
29094606.25575586;-16.91042917528504;33.020378695094635
29097397.75660727;-16.988279652022896;32.94277076611623
29100189.52529103;-17.06684763083724;32.864445301278835
29102981.56183285;-17.146071757018778;32.78546365529304
29105773.86625843;-17.225892981880303;32.70588487685066
29108566.43859346;-17.3062545618629;32.625765709510915
29111359.27886366;-17.387102045952165;32.545160604292946
29114152.38709472;-17.468383258563016;32.464121736782495
29116945.76331237;-17.550048271514434;32.38269903516453
29119739.40754231;-17.63204936948904;32.30094021475985
29122533.31981025;-17.714341010487406;32.21889081756855
29125327.50014191;-17.796879779205625;32.136594258898754
29128121.94856302;-17.879624333968657;32.054091880426896
29130916.6650993;-17.962535361721308;31.97142299521135
29133711.64977646;-18.045575512288416;31.888624953430536
29136506.90262024;-18.12870934473739;31.805733196019304
29139302.42365636;-18.211903266229395;31.72278131581866
29142098.21291056;-18.295125467809378;31.639801121786796
29144894.27040857;-18.37834586687629;31.55682269652744
29147690.59617613;-18.461536037011058;31.47387446646094
29150487.19023898;-18.54466915397106;31.390983255834858
29153284.05262286;-18.62771992539392;31.30817435701239
29156081.18335351;-18.7106645324805;31.225471588797248
29158878.58245669;-18.793480571347793;31.14289735507227
29161676.24995813;-18.876146985894174;31.06047271194383
29164474.18588359;-18.95864401593101;30.97821741960299
29167272.39025883;-19.0409531371346;30.896150002374988
29170070.86310961;-19.123057003674234;30.814287806093752
29172869.60446167;-19.204939396125308;30.732647050188717
29175668.61434079;-19.286585166428623;30.651242882717618
29178467.89277272;-19.36798018810378;30.57008943016751
