frequency;user0 (gain);user3 (gain)
29019849.90492392;71.64329267143779;39.1498544044325
29020295.37950167;71.63262874479551;39.129941536060294
29020740.86091776;71.62179245805191;39.10984714778201
29021186.3491723;71.61078644802744;39.08957385962238
29021631.84426538;71.59961336445642;39.06912430471583
29022077.34619712;71.58827583407677;39.048501092919025
29022522.85496762;71.57677649579414;39.027706846895434
29022968.37057699;71.56511796584836;39.00674416593604
29023413.89302532;71.55330287403228;38.98561566283678
29023859.42231273;71.5413338189839;38.96432392011826
29024304.95843932;71.5292134179156;38.94287153722947
29024750.5014052;71.51694425392489;38.92126108084205
29025196.05121046;71.50452892101184;38.899495128253804
29025641.60785522;71.49196998971424;38.87757623258195
29026087.17133958;71.47927002159192;38.85550693907168
29026532.74166365;71.46643157618026;38.83328978927729
29026978.31882752;71.45345718914909;38.81092730224797
29027423.90283131;71.44034939030064;38.788421990914145
29027869.49367512;71.42711069135072;38.76577634979923
29028315.09135905;71.41374359924522;38.74299286772904
29028760.69588321;71.400250592783;38.720074007398104
29029206.30724771;71.38663414774399;38.69702222685467
29029651.92545265;71.37289671765647;38.67383996205052
29030097.55049813;71.35904074331899;38.65052963686679
29030543.18238426;71.34506864569668;38.62709365466387
29030988.82111115;71.33098283510674;38.603534408029894
29031434.46667889;71.31678569462704;38.579854263303034
29031880.1190876;71.30247960238944;38.55605558008057
29032325.77833738;71.28806690651604;38.53214068941968
29032771.44442834;71.27354994354819;38.508111910474184
29033217.11736057;71.25893102658179;38.48397153868519
29033662.79713419;71.24421245786665;38.45972185787025
29034108.4837493;71.22939651089953;38.43536512403388
29034554.17720601;71.21448544074298;38.41090357541074
29034999.87750441;71.19948149089284;38.38633943648185
29035445.58464462;71.18438687282722;38.36167490157658
29035891.29862674;71.16920378791268;38.33691215365506
29036337.01945088;71.15393440736135;38.31205334647284
29036782.74711713;71.13858088837301;38.28710061899742
29037228.48162561;71.12314536589577;38.262056088135445
29037674.22297642;71.10762995086522;38.236921846499115
29038119.97116967;71.09203673338618;38.21169996656438
29038565.72620545;71.07636778527032;38.18639250173518
29039011.48808388;71.06062515118309;38.16100147846444
29039457.25680507;71.04481085922642;38.135528906367135
29039903.0323691;71.0289269122457;38.10997677050119
29040348.8147761;71.01297529035166;38.084347032366566
29040794.60402616;70.99695795517468;38.05864163498681
29041240.40011939;70.98087684288619;38.03286249635362
29041686.2030559;70.96473386765754;38.0070115126889
29042132.01283578;70.94853092252443;37.981090557765654
29042577.82945915;70.9322698790147;37.955101484561624
29043023.65292612;70.91595258413724;37.92904612171259
29043469.48323677;70.89958086231447;37.902926275568156
29043915.32039123;70.88315651839878;37.87674373123202
29044361.1643896;70.86668133131754;37.850500249697596
29044807.01523197;70.85015706148187;37.82419757209326
29045252.87291847;70.8335854419858;37.797837413476515
29045698.73744918;70.816968191682;37.77142147281177
29046144.60882422;70.80030699708539;37.74495141845978
29046590.48704369;70.78360352944028;37.71842890224891
29047036.3721077;70.76685943550262;37.69185555268071
29047482.26401635;70.75007634441165;37.66523297887404
29047928.16276974;70.7332558544533;37.638562760753096
