frequency;user0 (gain);user1 (gain);user2 (gain);user3 (gain)
3081919.244516001;-22.43366741811642;-34.54466243043963;4.476070224442537;7.634924787880676
3082628.964353404;-22.416665681143492;-34.529509045782355;4.476030822044572;7.636812542594288
3083338.847628655;-22.39963977416523;-34.51433145708408;4.475991431681635;7.638700251237216
3084048.894379391;-22.382589626951134;-34.499129589458434;4.475952053347338;7.640587909159962
3084759.104643257;-22.36551516899833;-34.483903367746585;4.475912687033047;7.642475511715208
3085469.478457909;-22.348416329473878;-34.46865271644813;4.475873332731378;7.644363054242879
3086180.01586101;-22.331293037250497;-34.453377559744084;4.475833990434943;7.6462505320586445
3086890.716890231;-22.314145220895114;-34.43807782150366;4.475794660135862;7.648137940472689
3087601.581583253;-22.29697280866163;-34.42275342527034;4.47575534182651;7.650025274782205
3088312.609977766;-22.279775728480683;-34.407404294262996;4.47571603549925;7.651912530283064
3089023.802111468;-22.26255390798777;-34.39203035136581;4.475676741146942;7.653799702231099
3089735.158022066;-22.245307274516325;-34.37663151916566;4.4756374587609855;7.655686785888356
3090446.677747273;-22.22803575504321;-34.36120771988175;4.475598188334731;7.657573776503812
3091158.361324816;-22.210739276274253;-34.34575887544709;4.475558929859342;7.659460669313491
3091870.208792426;-22.19341776456136;-34.33028490741434;4.4755196833284066;7.661347459524573
3092582.220187845;-22.17607114595294;-34.31478573703736;4.475480448733824;7.663234142350603
3093294.395548823;-22.158699346174664;-34.299261285219465;4.475441226068242;7.665120712976554
3094006.734913119;-22.141302290637974;-34.283711472554415;4.475402015323022;7.667007166593428
3094719.2383185;-22.123879904399292;-34.268136219250664;4.475362816491822;7.668893498359549
3095431.905802743;-22.106432112223917;-34.25253544521829;4.475323629566263;7.670779703428111
3096144.737403632;-22.088958838528065;-34.23690907000576;4.475284454538999;7.672665776938689
3096857.733158961;-22.071460007407488;-34.22125701282371;4.4752452914023975;7.6745517140138295
3097570.893106532;-22.053935542608425;-34.20557919253203;4.47520614014914;7.67643750977446
3098284.217284157;-22.03638536757613;-34.18987552767087;4.475167000770605;7.678323159324135
3098997.705729655;-22.01880940540109;-34.174145936391255;4.475127873260172;7.680208657729991
3099711.358480855;-22.001207578821827;-34.15839033652004;4.475088757610011;7.682094000088197
3100425.175575593;-21.98357981027928;-34.14260864552708;4.475049653812522;7.683979181435278
3101139.157051716;-21.96592602184927;-34.12680078054523;4.4750105618593565;7.6858641968366035
3101853.302947078;-21.948246135255566;-34.11096665831668;4.474971481743916;7.687749041317195
3102567.613299542;-21.930540071899856;-34.09510619524714;4.474932413458607;7.689633709888675
3103282.088146981;-21.912807752833444;-34.07921930740069;4.474893356995079;7.691518197572167
3103996.727527275;-21.89504909876524;-34.06330591045953;4.474854312346009;7.693402499348284
3104711.531478313;-21.87726403004575;-34.047365919745445;4.474815279504041;7.69528661019565
3105426.500037994;-21.859452466681617;-34.03139925022628;4.474776258461376;7.697170525083283
3106141.633244225;-21.841614328331893;-34.015405816500966;4.4747372492103725;7.699054238958701
3106856.931134921;-21.82374953428933;-33.99938553280045;4.474698251743494;7.700937746767629
3107572.393748007;-21.80585800350134;-33.9833383129774;4.474659266053619;7.702821043422446
3108288.021121415;-21.78793965456191;-33.96726407053986;4.474620292132455;7.704704123845496
3109003.813293088;-21.769994405708868;-33.95116271860344;4.474581329972663;7.706586982921908
3109719.770300976;-21.75202217480182;-33.935034169914935;4.474542379566659;7.708469615546458
3110435.892183039;-21.734022879362037;-33.91887833684574;4.474503440906885;7.710352016576819
3111152.178977245;-21.715996436533413;-33.90269513139521;4.474464513985501;7.7122341808762975
3111868.630721569;-21.697942763079535;-33.88648446516205;4.474425598795694;7.7141161032868135
3112585.247453998;-21.679861775438958;-33.870246249396594;4.474386695329144;7.71599777862849
3113302.029212527;-21.66175338964304;-33.85398039494483;4.4743478035785325;7.717879201723253
3114018.976035158;-21.64361752136592;-33.83768681227366;4.474308923536285;7.719760367371457
3114736.087959902;-21.625454085917365;-33.82136541146379;4.474270055194859;7.721641270351559
3115453.365024782;-21.607262998222904;-33.80501610221326;4.4742311985464305;7.723521905443923
3116170.807267825;-21.589044172840232;-33.788638793819366;4.474192353583696;7.725402267395436
3116888.414727069;-21.57079752392814;-33.77223339519339;4.474153520299092;7.727282350966157
3117606.187440563;-21.552522965298326;-33.755799814858165;4.474114698684815;7.7291621508750215
3118324.125446361;-21.53422041034517;-33.73933796092541;4.474075888733793;7.731041661846446
3119042.228782528;-21.51588977211802;-33.72284774113124;4.474037090437974;7.732920878575243
3119760.497487136;-21.49753096325781;-33.7063290628013;4.473998303789858;7.734799795753634
3120478.931598268;-21.479143896013667;-33.68978183285597;4.473959528782073;7.736678408060228
3121197.531154014;-21.460728482265008;-33.67320595781175;4.4739207654073665;7.73855671013938
3121916.296192473;-21.442284633497735;-33.65660134381571;4.473882013656955;7.740434696661016
3122635.226751755;-21.423812260780966;-33.63996789653958;4.473843273524994;7.742312362233622
3123354.322869976;-21.405311274824122;-33.623305521321264;4.473804545002476;7.744189701494662
3124073.584585261;-21.38678158593458;-33.6066141230488;4.473765828082107;7.746066709032114
3124793.011935744;-21.368223103973733;-33.58989360617465;4.473727122757588;7.74794337944333
3125512.604959571;-21.34963573847219;-33.573143874795846;4.473688429020124;7.749819707303532
3126232.363694892;-21.331019398534504;-33.55636483257015;4.47364974686197;7.751695687173665
3126952.288179868;-21.31237399283382;-33.53955638270318;4.473611076276795;7.753571313592566
3127672.378452669;-21.293699429680967;-33.52271842803346;4.473572417256089;7.755446581096402
3128392.634551474;-21.274995616938817;-33.505850870942886;4.473533769792823;7.757321484211244
3129113.056514469;-21.256262462102526;-33.48895361341433;4.473495133878966;7.759196017432835
3129833.644379851;-21.237499872223818;-33.47202655698173;4.473456509507479;7.761070175250438
3130554.398185825;-21.218707753967927;-33.45506960278093;4.473417896670116;7.762943952142888
3131275.317970604;-21.199886013561915;-33.43808265148469;4.473379295360072;7.764817342562701
