time_s,filt_loop_vpp,audio_vpp,agc_store_v,pin_bias_v,pin_branch_a,s_meter_a
9.62499999999984,0.0003447442130632721,0.03365814279323877,1.081929466,0.136528773095,1.575399999999283e-10,9.182297753750001e-10
9.634999999999838,0.0003447442130632959,0.033658142793468064,1.081929466,0.13645437769000002,1.571900000002513e-10,9.182297736449999e-10
9.64499999999984,0.00034474421306326014,0.033658142792708304,1.081929466,0.136380066295,1.5687000000000338e-10,9.182297719700002e-10
9.654999999999838,0.00034474421306331495,0.03365814279296357,1.081929466,0.13630583870500002,1.565750000000199e-10,9.18229770245e-10
9.66499999999984,0.0003447442130632526,0.033658142793041704,1.081929466,0.136231694715,1.5627499999976147e-10,9.1822976862e-10
9.674999999999837,0.000344744213063284,0.03365814279275132,1.081929466,0.136157634085,1.5598500000005287e-10,9.1822976691e-10
9.684999999999839,0.0003447442130632598,0.03365814279274789,1.081929466,0.13608365661,1.556850000002108e-10,9.1822976525e-10
9.694999999999837,0.0003447442130632832,0.03365814279218408,1.081929466,0.13600976209500001,1.553800000006489e-10,9.182297635349999e-10
9.704999999999838,0.0003447442130614177,0.033658142792428625,1.081929466,0.13593595034,1.55125000000228e-10,9.182297618400001e-10
9.714999999999836,0.0003447442130620861,0.03365814279168525,1.081929466,0.13586222109499999,1.5480999999942235e-10,9.1822976017e-10
9.724999999999838,0.0003447442130632835,0.03365814279134137,1.081929466,0.13578857413,1.5445500000030304e-10,9.182297584750001e-10
9.734999999999836,0.0003447442130632716,0.03365814279079729,1.081929466,0.135715009345,1.5420000000002098e-10,9.182297568150001e-10
9.744999999999838,0.0003447442130632456,0.033658142791684144,1.081929466,0.13564152643,1.5391499999989343e-10,9.1822975505e-10
9.754999999999836,0.0003447442130632533,0.03365814279127736,1.081929466,0.135568125185,1.5357999999993096e-10,9.182297534149998e-10
9.764999999999837,0.0003447442130632898,0.03365814279117374,1.081929466,0.13549480548999998,1.533100000002119e-10,9.1822975172e-10
9.774999999999835,0.00034474421306328963,0.03365814279117374,1.081929466,0.13542156702,1.5304000000007643e-10,9.18229750065e-10
9.784999999999837,0.0003447442130633146,0.033658142787750873,1.081929466,0.135348409695,1.5275500000050402e-10,9.182297483699999e-10
9.794999999999835,0.00034474421306265337,0.03365814278318079,1.081929466,0.13527533327,1.5254000000020082e-10,9.182297466350001e-10
9.804999999999836,0.0003447442130552729,0.033658142785234345,1.081929466,0.13520233738,1.521400000002726e-10,9.182297448849999e-10
9.814999999999834,0.00034474421305089145,0.03365814277425813,1.081929466,0.135129422095,1.5187000000041472e-10,9.182297432499999e-10
9.824999999999836,0.00034474421305274127,0.033658142775981274,1.081929466,0.1350565871,1.516349999998445e-10,9.182297415850001e-10
9.834999999999834,0.00034474421306203537,0.03365814277240877,1.081929466,0.13498383212,1.513200000004267e-10,9.182297399000001e-10
9.844999999999835,0.00034474421306329066,0.0336581427718899,1.081929466,0.134911157005,1.5103499999960527e-10,9.18229738175e-10
9.854999999999833,0.00034474421306325646,0.03365814277233564,1.081929466,0.13483856163,1.507400000000381e-10,9.182297364350001e-10
9.864999999999835,0.0003447442130633099,0.03365814277206143,1.081929466,0.13476604568,1.5048000000017493e-10,9.182297347150001e-10
9.874999999999833,0.00034474421306324025,0.03365814277161315,1.081929466,0.134693609,1.5018000000019407e-10,9.182297330250001e-10
9.884999999999835,0.00034474421306329673,0.033658142771027695,1.081929466,0.134621251475,1.4987499999952195e-10,9.182297313049999e-10
9.894999999999833,0.0003447442130558666,0.033658142770855944,1.081929466,0.134548972815,1.4957000000023756e-10,9.182297296650002e-10
9.904999999999834,0.0003447442130509267,0.033658142771368374,1.081929466,0.13447677289999999,1.4934500000021723e-10,9.182297279400001e-10
9.914999999999832,0.00034474421305087546,0.03365814277073849,1.081929466,0.13440465145000002,1.490700000000844e-10,9.182297262399999e-10
9.924999999999834,0.00034474421305091054,0.03365814277084189,1.081929466,0.1343326083,1.488200000000772e-10,9.182297244899999e-10
9.934999999999832,0.0003447442130509059,0.03365814277027825,1.081929466,0.13426064330999998,1.485100000001016e-10,9.182297228200001e-10
9.944999999999833,0.0003447442130515403,0.033658142770780344,1.081929466,0.134188756225,1.4825999999981687e-10,9.18229721135e-10
9.954999999999831,0.00034474421301955557,0.0336581427704323,1.081929466,0.134116946835,1.4795999999983598e-10,9.182297194e-10
9.964999999999833,0.0003447442130233013,0.033658142770194965,1.081929466,0.134045215105,1.4769499999997544e-10,9.1822971771e-10
9.974999999999831,0.00034474421290328736,0.03365814277009446,1.081929466,0.13397356072,1.4747500000009127e-10,9.18229715995e-10
