time_s,r_line_v,t_line_v,q79_6_base_v,agc_store_v,pin_bias_v,pin_current_a_per_branch,meter_current_a,d79_4_anode_v,d79_4_cathode_v
0.00265,12.1,0.2,0.0472222227,1.11880745,0.0379621186,9.09999999659794e-12,1.7336277099999999e-09,0.0662561895,1.73362771e-06
0.0027,12.1,0.2,0.0472222227,1.1187899,0.0379622913,9.09999999659794e-12,1.73310602e-09,0.066245981,1.73310602e-06
0.00275,12.1,0.2,0.0472222228,1.11877262,0.037962464,9.100000003536835e-12,1.73261713e-09,0.0662359277,1.73261713e-06
0.0028,12.1,0.2,0.047222223,1.11875606,0.0379626365,9.100000003536835e-12,1.73216687e-09,0.0662262909,1.73216687e-06
0.00285,12.1,0.2,0.0472222239,1.11874075,0.0379628091,9.200000004871977e-12,1.73187323e-09,0.0662173772,1.73187323e-06
0.0029,12.1,0.2,0.0472227977,1.11999489,0.0379630106,9.40000000060337e-12,1.88172076e-09,0.0669456279,1.88172076e-06
0.00295,12.1,0.2,0.0472229715,1.1226897,0.037963252,9.40000000060337e-12,2.00116869e-09,0.06852709,2.00116869e-06
0.003,12.1,0.2,0.0472230694,1.12594127,0.0379635216,9.600000003273657e-12,2.1291074e-09,0.0704558349,2.1291074e-06
0.00305,12.1,0.2,0.0472230837,1.12942403,0.0379638162,9.699999997669906e-12,2.25510065e-09,0.072545886,2.25510065e-06
0.0031,12.1,0.2,0.0472230141,1.13279471,0.0379641304,9.699999997669906e-12,2.36705984e-09,0.0745919059,2.36705984e-06
0.00315,12.1,0.2,0.0472228683,1.1357245,0.0379644565,9.79999999900505e-12,2.45239411e-09,0.0763885559,2.45239411e-06
0.0032,12.1,0.2,0.0472226627,1.13793294,0.0379647853,9.79999999900505e-12,2.50017918e-09,0.0777540681,2.50017918e-06
0.00325,12.1,0.2,0.0472222961,1.13899965,0.0379651014,9.699999997669906e-12,2.4681409699999997e-09,0.0784182254,2.46814097e-06
0.0033,12.1,0.2,0.0472222412,1.13912949,0.0379654015,9.7000000046088e-12,2.4620676600000003e-09,0.0784992657,2.46206766e-06
0.00335,12.1,0.2,0.0472222227,1.13914803,0.0379657001,9.599999996334762e-12,2.45895198e-09,0.0785108961,2.45895198e-06
0.0034,12.1,0.2,0.0472222227,1.13913003,0.0379659981,9.7000000046088e-12,2.4581924700000002e-09,0.0784996961,2.45819247e-06
0.00345,12.1,0.2,0.0472222227,1.13911211,0.0379662959,9.600000003273657e-12,2.4574371999999997e-09,0.0784885459,2.4574372e-06
0.0035,12.1,0.2,0.0472222227,1.13909419,0.0379665937,9.7000000046088e-12,2.45667821e-09,0.0784773992,2.45667821e-06
0.00355,12.1,0.2,0.0472222227,1.13907627,0.0379668913,9.699999997669906e-12,2.45592343e-09,0.0784662565,2.45592343e-06
0.0036,12.1,0.2,0.0472222227,1.13905837,0.0379671887,9.600000003273657e-12,2.4551660500000003e-09,0.0784551188,2.45516605e-06
0.00365,12.1,0.2,0.0472222227,1.13904047,0.0379674861,9.7000000046088e-12,2.45441226e-09,0.0784439873,2.45441226e-06
0.0037,12.1,0.2,0.0472222227,1.13902259,0.0379677833,9.7000000046088e-12,2.45365737e-09,0.0784328656,2.45365737e-06
0.00375,12.1,0.2,0.0472222228,1.13900488,0.0379680803,9.599999996334762e-12,2.45292685e-09,0.0784218519,2.45292685e-06
0.0038,12.1,0.2,0.0472222229,1.13898758,0.0379683773,9.600000003273657e-12,2.4522241e-09,0.0784110921,2.4522241e-06
0.00385,12.1,0.2,0.0472222238,1.13897122,0.0379686741,9.600000003273657e-12,2.45172101e-09,0.0784009154,2.45172101e-06
0.0039,12.1,0.2,0.0472227949,1.14027437,0.0379690042,9.900000000340192e-12,2.62762728e-09,0.079209972,2.62762728e-06
0.00395,12.1,0.2,0.047222968,1.14296503,0.0379693802,1.0000000001675336e-11,2.7843543800000003e-09,0.0808953044,2.78435438e-06
0.004,12.1,0.2,0.0472230656,1.14621214,0.037969792,1.0200000004345622e-11,2.95804494e-09,0.0829470461,2.95804494e-06
0.00405,12.1,0.2,0.0472230798,1.14969043,0.0379702374,1.0300000005680766e-11,3.13473162e-09,0.0851658588,3.13473162e-06
0.0041,12.1,0.2,0.0472230105,1.15305674,0.0379707112,1.0400000000077014e-11,3.2977387e-09,0.0873334094,3.2977387e-06
0.00415,12.1,0.2,0.0472228653,1.15598233,0.0379712049,1.0500000001412158e-11,3.42900101e-09,0.0892330216,3.42900101e-06
0.0042,12.1,0.2,0.0472226604,1.15818678,0.0379717076,1.0500000001412158e-11,3.51186817e-09,0.0906741375,3.51186817e-06
0.00425,12.1,0.2,0.0472222879,1.15919775,0.0379721997,1.0400000000077014e-11,3.48896902e-09,0.0913390107,3.48896902e-06
0.0043,12.1,0.2,0.0472222404,1.15931523,0.0379726764,1.0400000000077014e-11,3.48539246e-09,0.0914164014,3.48539246e-06
0.00435,12.1,0.2,0.0472222228,1.15933465,0.0379731519,1.029999999874187e-11,3.48261092e-09,0.0914292438,3.48261092e-06
0.0044,12.1,0.2,0.0472222227,1.1593163,0.0379736267,1.0400000000077014e-11,3.48149257e-09,0.0914171883,3.48149257e-06
0.00445,12.1,0.2,0.0472222227,1.15929804,0.0379741012,1.029999999874187e-11,3.48039218e-09,0.0914051981,3.48039218e-06
0.0045,12.1,0.2,0.0472222227,1.1592798,0.0379745756,1.029999999874187e-11,3.47929619e-09,0.0913932123,3.47929619e-06
0.00455,12.1,0.2,0.0472222227,1.15926155,0.0379750498,1.029999999874187e-11,3.4781975800000002e-09,0.0913812308,3.47819758e-06
0.0046,12.1,0.2,0.0472222227,1.15924332,0.0379755238,1.029999999874187e-11,3.47710275e-09,0.0913692543,3.47710275e-06
0.00465,12.1,0.2,0.0472222227,1.15922509,0.0379759976,1.029999999874187e-11,3.47600629e-09,0.0913572837,3.47600629e-06
0.0047,12.1,0.2,0.0472222227,1.15920688,0.0379764712,1.029999999874187e-11,3.4749136000000003e-09,0.0913453219,3.4749136e-06
0.00475,12.1,0.2,0.0472222228,1.15918879,0.0379769446,1.029999999874187e-11,3.47383791e-09,0.091333446,3.47383791e-06
0.0048,12.1,0.2,0.0472222229,1.15917094,0.0379774178,1.0300000005680766e-11,3.47278332e-09,0.0913217225,3.47278332e-06
0.00485,12.1,0.2,0.0472222237,1.15915377,0.0379778909,1.0400000000077014e-11,3.47193237e-09,0.0913104417,3.47193237e-06
0.0049,12.1,0.2,0.0472227927,1.16045454,0.0379784003,1.06000000027473e-11,3.67863603e-09,0.0921631695,3.67863603e-06
0.00495,12.1,0.2,0.0472229651,1.16314319,0.0379789646,1.0799999998478693e-11,3.88779998e-09,0.093939058,3.88779998e-06
0.005,12.1,0.2,0.0472230623,1.16638816,0.0379795755,1.1000000001148979e-11,4.12668623e-09,0.0960979342,4.12668623e-06
0.00505,12.1,0.2,0.0472230766,1.16986432,0.0379802323,1.1199999996880371e-11,4.37646367e-09,0.098428836,4.37646367e-06
0.0051,12.1,0.2,0.0472230075,1.17322855,0.0379809301,1.1299999998215515e-11,4.61379827e-09,0.100702183,4.61379827e-06
0.00515,12.1,0.2,0.0472228628,1.17615213,0.0379816599,1.1399999999550659e-11,4.81255744e-09,0.102691511,4.81255744e-06
0.0052,12.1,0.2,0.0472226586,1.17835465,0.0379824085,1.1399999999550659e-11,4.9477085099999994e-09,0.104198678,4.94770851e-06
0.00525,12.1,0.2,0.0472222845,1.17933974,0.0379831513,1.1399999999550659e-11,4.94345258e-09,0.104876275,4.94345258e-06
0.0053,12.1,0.2,0.0472222401,1.17945201,0.0379838797,1.1399999999550659e-11,4.9425982e-09,0.104953602,4.9425982e-06
0.00535,12.1,0.2,0.0472222229,1.17947157,0.037984607,1.1299999998215515e-11,4.940215839999999e-09,0.104967115,4.94021584e-06
0.0054,12.1,0.2,0.0472222228,1.17945287,0.0379853335,1.1399999999550659e-11,4.93857662e-09,0.104954273,4.93857662e-06
0.00545,12.1,0.2,0.0472222228,1.17943429,0.0379860596,1.1299999998215515e-11,4.9369766199999995e-09,0.104941509,4.93697662e-06
0.0055,12.1,0.2,0.0472222228,1.17941571,0.0379867855,1.1300000005154409e-11,4.93537815e-09,0.104928749,4.93537815e-06
0.00555,12.1,0.2,0.0472222228,1.17939715,0.0379875111,1.1399999999550659e-11,4.9337803299999995e-09,0.104915995,4.93378033e-06
0.0056,12.1,0.2,0.0472222228,1.17937858,0.0379882364,1.1399999999550659e-11,4.9321840100000005e-09,0.104903246,4.93218401e-06
0.00565,12.1,0.2,0.0472222228,1.17936003,0.0379889614,1.1299999998215515e-11,4.93058868e-09,0.104890502,4.93058868e-06
0.0057,12.1,0.2,0.0472222228,1.17934148,0.0379896861,1.1300000005154409e-11,4.92899543e-09,0.104877766,4.92899543e-06
0.00575,12.1,0.2,0.0472222228,1.17932305,0.0379904105,1.1300000005154409e-11,4.92741903e-09,0.104865105,4.92741903e-06
0.0058,12.1,0.2,0.0472222229,1.17930474,0.0379911347,1.1399999999550659e-11,4.92585667e-09,0.10485253,4.92585667e-06
0.00585,12.1,0.2,0.0472222235,1.1792869,0.0379918586,1.1399999999550659e-11,4.92447571e-09,0.104840275,4.92447571e-06
0.0059,12.1,0.2,0.0472227906,1.18056296,0.0379926216,1.1599999995282052e-11,5.16966469e-09,0.10571504,5.16966469e-06
0.00595,12.1,0.2,0.0472229625,1.1832505,0.037993452,1.189999999928748e-11,5.45346433e-09,0.10756947,5.45346433e-06
0.006,12.1,0.2,0.0472230594,1.18649431,0.0379943442,1.2100000001957767e-11,5.78615026e-09,0.109821227,5.78615026e-06
0.00605,12.1,0.2,0.0472230736,1.1899693,0.0379952999,1.2399999999024302e-11,6.14179166e-09,0.112249284,6.14179166e-06
0.0061,12.1,0.2,0.0472230047,1.19333239,0.0379963153,1.2700000003029732e-11,6.48742737e-09,0.114614342,6.48742737e-06
0.00615,12.1,0.2,0.0472228605,1.19625487,0.0379973803,1.2800000004364876e-11,6.7851584200000006e-09,0.116681485,6.78515842e-06
0.0062,12.1,0.2,0.0472226571,1.19845633,0.0379984789,1.2899999998761125e-11,6.99757528e-09,0.118246015,6.99757528e-06
0.00625,12.1,0.2,0.047222283,1.19942954,0.0379995802,1.279999999742598e-11,7.0243136099999994e-09,0.118940812,7.02431361e-06
0.0063,12.1,0.2,0.0472222399,1.19953945,0.0380006685,1.2800000004364876e-11,7.0272026699999996e-09,0.119019354,7.02720267e-06
0.00635,12.1,0.2,0.047222223,1.19955887,0.038001756,1.279999999742598e-11,7.02540476e-09,0.119033276,7.02540476e-06
0.0064,12.1,0.2,0.0472222228,1.19953983,0.0380028424,1.279999999742598e-11,7.023008590000001e-09,0.119019706,7.02300859e-06
0.00645,12.1,0.2,0.0472222228,1.19952092,0.0380039284,1.279999999742598e-11,7.0206719899999995e-09,0.119006227,7.02067199e-06
0.0065,12.1,0.2,0.0472222228,1.19950202,0.038005014,1.2899999998761125e-11,7.018331499999999e-09,0.118992753,7.0183315e-06
0.00655,12.1,0.2,0.0472222228,1.19948313,0.0380060991,1.2800000004364876e-11,7.01599741e-09,0.118979284,7.01599741e-06
0.0066,12.1,0.2,0.0472222228,1.19946424,0.0380071838,1.279999999742598e-11,7.013660649999999e-09,0.11896582,7.01366065e-06
0.00665,12.1,0.2,0.0472222228,1.19944536,0.038008268,1.279999999742598e-11,7.0113295199999995e-09,0.118952361,7.01132952e-06
0.0067,12.1,0.2,0.0472222228,1.19942649,0.0380093519,1.2800000004364876e-11,7.00899732e-09,0.118938911,7.00899732e-06
0.00675,12.1,0.2,0.0472222228,1.19940771,0.0380104353,1.279999999742598e-11,7.00668567e-09,0.118925527,7.00668567e-06
0.0068,12.1,0.2,0.0472222229,1.199389,0.0380115182,1.279999999742598e-11,7.00438055e-09,0.118912188,7.00438055e-06
0.00685,12.1,0.2,0.0472222234,1.1993706,0.0380126008,1.279999999742598e-11,7.00222731e-09,0.118899074,7.00222731e-06
