time_s,pto_emitter_v,crystal_q89_3_drain_v
9.211197956437e-05,1.542619744576e+00,7.743010322675e+00
9.211397956437e-05,1.526124424856e+00,7.742812613942e+00
9.211597956437e-05,1.510385623347e+00,7.742634201074e+00
9.211797956437e-05,1.495471818269e+00,7.742476548477e+00
9.211997956437e-05,1.481447898351e+00,7.742340881187e+00
9.212197956437e-05,1.468374880506e+00,7.742228179346e+00
9.212397956437e-05,1.456309644351e+00,7.742139176233e+00
9.212597956437e-05,1.445304684727e+00,7.742074359723e+00
9.212797956437e-05,1.435407883303e+00,7.742033976973e+00
9.212997956437e-05,1.426662300239e+00,7.742018042101e+00
9.213197956437e-05,1.419105986844e+00,7.742026346544e+00
9.213397956437e-05,1.412771820009e+00,7.742058471771e+00
9.213597956437e-05,1.407687359170e+00,7.742113803944e+00
9.213797956437e-05,1.403874726394e+00,7.742191550117e+00
9.213997956437e-05,1.401350510131e+00,7.742290755512e+00
9.214197956437e-05,1.400125693035e+00,7.742410321398e+00
9.214397956437e-05,1.400205604185e+00,7.742549023096e+00
9.214597956437e-05,1.401589895894e+00,7.742705527627e+00
9.214797956437e-05,1.404272545223e+00,7.742878410552e+00
9.214997956437e-05,1.408241880188e+00,7.743066171588e+00
9.215197956437e-05,1.413480630541e+00,7.743267248629e+00
9.215397956437e-05,1.419966002913e+00,7.743480029895e+00
9.215597956437e-05,1.427669779988e+00,7.743702863990e+00
9.215797956437e-05,1.436558443270e+00,7.743934067806e+00
9.215997956437e-05,1.446593318923e+00,7.744171932276e+00
9.216197956437e-05,1.457730746033e+00,7.744414726148e+00
9.216397956437e-05,1.469922266580e+00,7.744660698060e+00
9.216597956437e-05,1.483114836268e+00,7.744908077335e+00
9.216797956437e-05,1.497251055320e+00,7.745155074028e+00
9.216997956437e-05,1.512269418220e+00,7.745399878831e+00
9.217197956437e-05,1.528104581315e+00,7.745640663543e+00
9.217397956437e-05,1.544687647124e+00,7.745875582799e+00
9.217597956437e-05,1.561946464103e+00,7.746102777744e+00
9.217797956437e-05,1.579805940570e+00,7.746320382297e+00
9.217997956437e-05,1.598188371424e+00,7.746526532496e+00
9.218197956437e-05,1.617013776232e+00,7.746719379273e+00
9.218397956437e-05,1.636200247219e+00,7.746897104837e+00
9.218597956437e-05,1.655664305640e+00,7.747057942568e+00
9.218797956437e-05,1.675321264991e+00,7.747200200148e+00
9.218997956437e-05,1.695085599473e+00,7.747322285389e+00
9.219197956437e-05,1.714871316103e+00,7.747422734013e+00
9.219397956437e-05,1.734592328870e+00,7.747500238499e+00
9.219597956437e-05,1.754162833282e+00,7.747553676936e+00
9.219797956437e-05,1.773497679698e+00,7.747582140810e+00
9.219997956437e-05,1.792512743803e+00,7.747584960613e+00
9.220197956437e-05,1.811125292631e+00,7.747561728235e+00
9.220397956437e-05,1.829254344524e+00,7.747512315223e+00
9.220597956437e-05,1.846821021481e+00,7.747436886132e+00
9.220797956437e-05,1.863748892348e+00,7.747335906411e+00
9.220997956437e-05,1.879964305361e+00,7.747210144479e+00
9.221197956437e-05,1.895396708604e+00,7.747060667838e+00
9.221397956437e-05,1.909978956968e+00,7.746888833335e+00
9.221597956437e-05,1.923647604301e+00,7.746696271836e+00
9.221797956437e-05,1.936343179452e+00,7.746484867757e+00
9.221997956437e-05,1.948010445025e+00,7.746256734045e+00
9.222197956437e-05,1.958598637715e+00,7.746014183276e+00
9.222397956437e-05,1.968061689175e+00,7.745759695628e+00
9.222597956437e-05,1.976358426451e+00,7.745495884501e+00
9.222797956437e-05,1.983452751128e+00,7.745225460568e+00
9.222997956437e-05,1.989313796387e+00,7.744951195028e+00
9.223197956437e-05,1.993916061306e+00,7.744675882770e+00
9.223397956437e-05,1.997239521813e+00,7.744402307897e+00
9.223597956437e-05,1.999269717806e+00,7.744133208717e+00
9.223797956437e-05,1.999997816071e+00,7.743871231549e+00
9.223997956437e-05,1.999420648712e+00,7.743618914869e+00
9.224197956437e-05,1.997540726937e+00,7.743378666323e+00
9.224397956437e-05,1.994366230130e+00,7.743152721741e+00
9.224597956437e-05,1.989910970263e+00,7.742943128907e+00
9.224797956437e-05,1.984194331802e+00,7.742751728741e+00
9.224997956437e-05,1.977241187367e+00,7.742580140059e+00
9.225197956437e-05,1.969081789514e+00,7.742429747978e+00
9.225397956437e-05,1.959751639105e+00,7.742301695971e+00
9.225597956437e-05,1.949291330852e+00,7.742196881562e+00
9.225797956437e-05,1.937746376688e+00,7.742115955517e+00
9.225997956437e-05,1.925167007752e+00,7.742059324423e+00
9.226197956437e-05,1.911607955835e+00,7.742027156403e+00
9.226397956437e-05,1.897128215248e+00,7.742019389735e+00
9.226597956437e-05,1.881790786140e+00,7.742035744039e+00
9.226797956437e-05,1.865662400396e+00,7.742075733691e+00
9.226997956437e-05,1.848813231283e+00,7.742138683047e+00
9.227197956437e-05,1.831316588140e+00,7.742223743060e+00
9.227397956437e-05,1.813248597410e+00,7.742329908803e+00
9.227597956437e-05,1.794687871422e+00,7.742456037451e+00
9.227797956437e-05,1.775715166357e+00,7.742600866212e+00
9.227997956437e-05,1.756413030881e+00,7.742763029760e+00
9.228197956437e-05,1.736865446986e+00,7.742941076701e+00
9.228397956437e-05,1.717157464587e+00,7.743133484700e+00
9.228597956437e-05,1.697374831482e+00,7.743338673895e+00
9.228797956437e-05,1.677603620268e+00,7.743555018364e+00
9.228997956437e-05,1.657929853845e+00,7.743780855470e+00
9.229197956437e-05,1.638439131140e+00,7.744014493035e+00
9.229397956437e-05,1.619216254670e+00,7.744254214397e+00
9.229597956437e-05,1.600344861579e+00,7.744498281586e+00
