time_s,u89_1_pin1_v,u89_1_pin4_v,u89_1_signal_diff_v,u89_1_pin8_v,u89_1_pin10_v,u89_1_carrier_diff_v,u89_1_pin6_v,u89_1_pin12_v,u89_1_output_diff_v
7.295597956432e-05,6.775173809052e+00,6.783122542999e+00,-7.948733946811e-03,1.000268615915e+01,1.001814144662e+01,-1.545528747437e-02,1.270852024605e+01,1.276043616415e+01,-5.191591809751e-02
7.295797956432e-05,6.783592997026e+00,6.783116561809e+00,4.764352175126e-04,1.000147879540e+01,1.001804855991e+01,-1.656976451545e-02,1.270154583752e+01,1.275985293114e+01,-5.830709362118e-02
7.295997956432e-05,6.792027881188e+00,6.783110476016e+00,8.917405171203e-03,1.000044781518e+01,1.001795150729e+01,-1.750369211229e-02,1.269576324464e+01,1.275909135808e+01,-6.332811343760e-02
7.296197956432e-05,6.800441311175e+00,6.783104349408e+00,1.733696176611e-02,9.999601210942e+00,1.001785114853e+01,-1.824993758722e-02,1.269130942957e+01,1.275818198386e+01,-6.687255428898e-02
7.296397956432e-05,6.808796720773e+00,6.783098247174e+00,2.569847359899e-02,9.998945490285e+00,1.001774836648e+01,-1.880287619269e-02,1.268828874037e+01,1.275716016509e+01,-6.887142471511e-02
7.296597956432e-05,6.817057346291e+00,6.783092235314e+00,3.396511097722e-02,9.998485203054e+00,1.001764405927e+01,-1.915885621497e-02,1.268677021406e+01,1.275606478537e+01,-6.929457131516e-02
7.296797956432e-05,6.825187292975e+00,6.783086379974e+00,4.210091300095e-02,9.998223378931e+00,1.001753913250e+01,-1.931575357020e-02,1.268678584945e+01,1.275493737015e+01,-6.815152069628e-02
7.296997956432e-05,6.833150869108e+00,6.783080746929e+00,5.007012217890e-02,9.998161264504e+00,1.001743449103e+01,-1.927322652484e-02,1.268832908403e+01,1.275382424331e+01,-6.549515928226e-02
7.297197956432e-05,6.840924162560e+00,6.783075419632e+00,5.784874292863e-02,9.998300833364e+00,1.001733105132e+01,-1.903021795303e-02,1.269135306321e+01,1.275272723694e+01,-6.137417373119e-02
7.297397956432e-05,6.848448907825e+00,6.783070452812e+00,6.537845501271e-02,9.998635699897e+00,1.001722970365e+01,-1.859400375393e-02,1.269577880548e+01,1.275174558970e+01,-5.596678421169e-02
7.297597956432e-05,6.855698117761e+00,6.783065871607e+00,7.263224615408e-02,9.999160139570e+00,1.001713126775e+01,-1.797112817800e-02,1.270150310586e+01,1.275094927775e+01,-4.944617189137e-02
7.297797956432e-05,6.862661301404e+00,6.783061751202e+00,7.959955020283e-02,9.999875930313e+00,1.001703657168e+01,-1.716064136413e-02,1.270837938793e+01,1.275028778545e+01,-4.190839752480e-02
7.297997956432e-05,6.869290681521e+00,6.783058160628e+00,8.623252089317e-02,1.000077512432e+01,1.001694644897e+01,-1.617132464847e-02,1.271622850137e+01,1.274981512068e+01,-3.358661930852e-02
7.298197956432e-05,6.875562506367e+00,6.783055143463e+00,9.250736290367e-02,1.000184742612e+01,1.001686166044e+01,-1.501423432084e-02,1.272485829962e+01,1.274957583003e+01,-2.471753040662e-02
7.298397956432e-05,6.881448419836e+00,6.783052750412e+00,9.839566942333e-02,1.000308618422e+01,1.001678292072e+01,-1.369673650140e-02,1.273405651036e+01,1.274957647468e+01,-1.551996432576e-02
