supply_v,q1_gate1_v,q1_source_v,q1_drain_v,v_gs_v,drain_current_ma
1.25,0.09690991617839263,0.863459197252635,1.06234597771913,-0.7665492810742424,1.8371472281970957
1.3,0.1008609807448194,0.8941352086050405,1.105677563022883,-0.7932742278602211,1.902415337457533
1.350000000000001,0.1048211203092711,0.9243417974240519,1.149110966415893,-0.8195206771147807,1.966684675370323
1.400000000000001,0.1087909021802632,0.9540496185545696,1.192652552883732,-0.8452587163743064,2.0298928054352547
1.450000000000001,0.112770933845291,0.9832272484525085,1.236309138215948,-0.8704563146072175,2.0919728690478907
1.500000000000001,0.1167618654589355,1.011841056567786,1.280088016903388,-0.8950791911088505,2.152853311846353
1.550000000000001,0.1207643923170349,1.039855077304342,1.323996989909989,-0.9190906849873071,2.212457611285834
1.600000000000001,0.1247792572677562,1.067230885342282,1.368044391715618,-0.9424516280745259,2.2707040113665578
1.650000000000001,0.1288072529876881,1.093927477873711,1.412239115859176,-0.9651202248860228,2.327505272071725
1.700000000000001,0.1328492240387464,1.11990116819879,1.456590638017672,-0.9870519441600436,2.3827684429761486
1.750000000000001,0.1369060686005126,1.145105496148159,1.50110903543566,-1.0081994275476465,2.436394672655658
1.800000000000001,0.1409787397491167,1.169491161929778,1.545805001273947,-1.0285124221806614,2.4882790679356983
1.850000000000001,0.145068246131353,1.193005991219855,1.590689852181354,-1.047937745088502,2.5383106196167127
1.900000000000001,0.1491756518610149,1.215594940578322,1.635775527120063,-1.0664192887173072,2.58637221399643
1.950000000000001,0.1533020754340628,1.237200153495006,1.681074575209331,-1.083898078060943,2.6323407521170337
2.000000000000001,0.1574486874476342,1.257761078459791,1.726600130115759,-1.1003123910121568,2.6760874009782785
2.050000000000001,0.1616167068815736,1.277214661246034,1.772365868346988,-1.1155979543644605,2.717478002651136
2.100000000000001,0.1658073957048373,1.295495623923924,1.818385948733599,-1.1296882282190865,2.7563736679232425
2.15,0.1700220515704619,1.312536842747003,1.86467493046505,-1.142514791176541,2.792631580312772
2.2,0.1742619983891837,1.328269835738634,1.911247667331933,-1.1540078373494502,2.826106033486455
2.25,0.1785285746217061,1.342625368286836,1.958119176371941,-1.16409679366513,2.856649719759226
2.3,0.1828231192052981,1.355534181118476,2.005304479971965,-1.172711061913178,2.884115278975481
2.35,0.1871469551370803,1.366927839522022,2.0528184216707,-1.1797808843849416,2.908357105366004
2.399999999999999,0.1915013708701416,1.376739695629041,2.100675457439335,-1.1852383247588993,2.9292333949554066
2.449999999999999,0.1958875998459576,1.384905947152044,2.148889426040511,-1.1890183473060865,2.9466083981958384
2.499999999999999,0.2003067986638122,1.391366766680492,2.197473304083124,-1.1910599680166798,2.960354822724451
2.549999999999999,0.2047600245650455,1.396067466197323,2.246438953437919,-1.1913074416322775,2.970356311058134
2.599999999999999,0.209248213091704,1.398959652925178,2.295796870533492,-1.189711439833474,2.976509899840804
2.649999999999999,0.2137268554094479,1.402345636697677,2.345047682690501,-1.1886187812882292,2.9837141206333553
2.699999999999998,0.2182016811160893,1.405929042451467,2.394255673876068,-1.1877273613353776,2.9913383881946105
2.749999999999998,0.2226764891819417,1.409513360664872,2.443463467148451,-1.1868368714829303,2.998964597159302
2.799999999999998,0.2271512750512877,1.413098827059117,2.492671011379597,-1.1859475520078293,3.006593249061951
2.849999999999998,0.2316260388713094,1.416685433996371,2.541878308226134,-1.1850593951250616,3.014224327651853
2.899999999999998,0.2361007807892173,1.420273173861618,2.591085359339758,-1.1841723930724009,3.021857816726847
2.949999999999998,0.2405755009580677,1.423862038767006,2.640292166431346,-1.1832865378089383,3.029493699504268
2.999999999999997,0.245050199535282,1.427452020526109,2.689498731276575,-1.182401820990827,3.037131958566189
3.049999999999997,0.249524876685945,1.4310431106291,2.738705055721211,-1.181518233943155,3.0447725758065958
3.099999999999997,0.2539995325811495,1.434635300210981,2.787911141688087,-1.1806357676298316,3.0524155323637894
3.149999999999997,0.2584741673991539,1.438228580019016,2.837116991184105,-1.179754412619862,3.0600608085510976
3.199999999999997,0.2629487813285235,1.441822940378092,2.886322606307791,-1.1788741590495686,3.0677083837831742
3.249999999999996,0.2674233745637925,1.44541837114613,2.935527989259017,-1.1779949965823375,3.075358236481127
