band,band_key,load_ohm,coil_q,peak_hz,peak_db,gain_at_target_db,bandwidth_3db_hz,loaded_q,grid_step_hz
3.5 MHz,3p5,470.0,50.0,3504128.272870194,8.305638475741242,8.304686004712018,565321.5222712676,6.198469605034337,402.98667757213116
3.5 MHz,3p5,470.0,30.0,3482811.707415757,2.259611278672473,2.25088707155182,760956.5240080575,4.576886586202496,402.98667757213116
3.5 MHz,3p5,470.0,20.0,3454060.940850495,-2.8228811990572678,-2.858089228166428,1024208.0870529395,3.372421077819473,402.98667757213116
3.5 MHz,3p5,470.0,10.0,3334110.549341626,-10.937205559572174,-11.080997190917254,2084272.3144197452,1.599652083019599,402.98667757213116
21.2 MHz,21p2,1000000.0,70.0,21182696.60942515,72.54841306073014,72.33241722055999,150399.29939481616,140.84305375531062,2440.854767229408
21.2 MHz,21p2,1000000.0,50.0,21190014.11725758,67.45693090464977,67.42947681187081,215814.64815648273,98.18617178335893,2440.854767229408
21.2 MHz,21p2,1000000.0,30.0,21202215.58144102,59.62213472500275,59.62127351811485,348579.0922320485,60.82469102113198,2440.854767229408
21.2 MHz,21p2,1000000.0,20.0,21207098.13409771,53.184169961317885,53.180370073998674,507219.1200919375,41.81052585370551,2440.854767229408
21.2 MHz,21p2,1000000.0,10.0,21204656.7172382,41.810136371022,41.80964625276852,979028.568961151,21.65887430612827,2440.854767229408
21.2 MHz,21p2,100000.0,70.0,21180258.00173327,71.37835612090619,71.16875378264103,164129.0833161585,129.04634312088473,2440.854767229408
21.2 MHz,21p2,100000.0,50.0,21190014.11725758,66.60817472370657,66.57654152911606,228587.44079988077,92.69981781636287,2440.854767229408
21.2 MHz,21p2,100000.0,30.0,21202215.58144102,59.092010492793186,59.09172738542758,360618.8599519469,58.79397318339438,2440.854767229408
21.2 MHz,21p2,100000.0,20.0,21207098.13409771,52.821761288254024,52.81872888178605,518885.8068560213,40.87045329413334,2440.854767229408
21.2 MHz,21p2,100000.0,10.0,21204656.7172382,41.62361082060706,41.62317172309549,990251.9579136819,21.413395396776952,2440.854767229408
21.2 MHz,21p2,22000.0,70.0,21177819.67478032,67.84901136144379,67.67840524928081,206308.86508331448,102.65104054655141,2440.854767229408
21.2 MHz,21p2,22000.0,50.0,21185135.49788827,63.88476668387209,63.846206720321966,269093.5788988471,78.72776297591186,2440.854767229408
21.2 MHz,21p2,22000.0,30.0,21197334.15290419,57.26944951380101,57.269157663265545,401285.22108716145,52.8236103374961,2440.854767229408
21.2 MHz,21p2,22000.0,20.0,21204656.7172382,51.52419282490267,51.523159035716986,560088.4473289587,37.859478834749105,2440.854767229408
21.2 MHz,21p2,22000.0,10.0,21204656.7172382,40.924907449736914,40.924653253596965,1031957.1786337234,20.548000591761426,2440.854767229408
21.2 MHz,21p2,10000.0,70.0,21177819.67478032,64.21491381002788,64.09796874287618,246359.37543483824,85.96311643265157,2440.854767229408
21.2 MHz,21p2,10000.0,50.0,21185135.49788827,60.859775968819044,60.82298634484457,310367.45736309513,68.25823711634831,2440.854767229408
21.2 MHz,21p2,10000.0,30.0,21194893.86009984,55.045245773434516,55.0431551783633,447839.96481461823,47.326937132270885,2440.854767229408
