time_s,filt_input,audio_opamp,audio_terminal,agc_opamp,d79_6_anode,agc_store,pin_bias,d79_1_feed
0.11116,0.00844322057,7.57467473,0.696893263,9.06132016,2.81102639,2.26853204,0.589119954,0.57736217
0.11118,0.00904820766,7.6554754,0.777103571,9.30993081,2.8055548,2.26905819,0.589457274,0.577623421
0.1112,0.00951049912,7.72408013,0.845058581,9.51999645,2.79835341,2.26950601,0.589774842,0.577868296
0.11122,0.00982280433,7.77940693,0.899686581,9.68820413,2.78881604,2.26986974,0.590066721,0.57809228
0.11124,0.00998019804,7.82058329,0.940126049,9.81190104,2.77589206,2.27014598,0.590327817,0.578291552
0.11126,0.00998019807,7.84695981,0.965739235,9.88913616,2.75762042,2.27033473,0.590554084,0.578463128
0.11128,0.00982280442,7.85812056,0.976122222,9.91869089,2.73010368,2.27044172,0.590742882,0.578605129
0.1113,0.00951049927,7.85388954,0.971111296,9.90009878,2.68566901,2.27048227,0.590893637,0.578717283
0.11132,0.00904820786,7.83433353,0.950785523,9.8336556,2.61205888,2.27048311,0.591008763,0.578801636
0.11134,0.00844322081,7.79976098,0.9154655,9.72041295,2.49794919,2.27047057,0.591093711,0.5788626
0.11136,0.00770507913,7.75071717,0.865708282,9.56215549,2.33976204,2.27045606,0.591154982,0.578905392
0.11138,0.00684542375,7.68797556,0.802298607,9.36137765,2.1391311,2.27044143,0.591198179,0.578934483
0.1114,0.00587781194,7.61252568,0.726236507,9.12124579,1.89917382,2.27042679,0.591227658,0.578953321
0.11142,0.00481750353,7.52555741,0.638721542,8.84554704,1.62368189,2.27041213,0.591246775,0.578964535
0.11144,0.00368122021,7.4284423,0.541133876,8.53869934,1.32158407,2.27039746,0.591258107,0.578970124
0.11146,0.00248688185,7.32271179,0.435012404,8.20535662,1.20293772,2.27038293,0.59126364,0.578971612
0.11148,0.00125332387,7.21003338,0.322030775,7.8509192,1.1987588,2.27036846,0.591264903,0.57897016
0.1115,2.32014408e-10,7.09218409,0.20397081,7.48096332,1.19655277,2.270354,0.591263044,0.578966625
0.11152,-0.00125332341,6.97102243,0.0826943372,7.10130793,1.19533689,2.27033954,0.591258931,0.578961648
0.11154,-0.0024868814,6.84845915,-0.0398860872,6.71794007,1.19507956,2.27032508,0.591253218,0.578955701
0.11156,-0.00368121978,6.72642711,-0.161837339,6.33690537,1.19577066,2.27031062,0.591246393,0.578949132
0.11158,-0.00481750312,6.60685078,-0.281236206,5.96421269,1.19741797,2.27029616,0.591238818,0.578942191
